479,589,480,572,524,573,524,590	zero
243,589,243,572,307,572,307,589	agrees
315,589,315,571,438,573,438,590	'aspirational'
526,570,574,570,574,592,526,593	plan
442,588,443,571,478,572,478,589	'net
158,587,158,571,236,572,236,588	aviation
91,570,153,570,153,588,92,588	World
419,522,495,520,495,541,419,543	capture
346,522,413,522,413,539,346,539	carbon
188,522,234,521,234,543,189,545	plan
272,539,272,521,342,521,342,539	seabed
499,539,499,522,545,522,545,539	sites
91,539,92,521,184,524,183,542	Licensing
236,541,236,519,268,519,268,541	for
425,493,425,472,486,474,485,495	opens
289,474,364,473,365,492,290,493	capture
216,472,284,471,284,490,216,491	carbon
141,473,212,472,212,490,142,492	largest
366,473,422,471,422,493,367,494	plant
89,490,90,469,139,470,139,492	UK's
160,423,217,421,218,447,160,449	egoing
126,443,126,424,158,424,158,443	are
303,444,303,422,348,423,347,445	,they
247,441,248,422,299,424,298,443	work,
221,425,241,424,242,441,222,442	to
511,446,511,420,549,421,548,447	,big,
405,440,405,423,425,423,425,440	to
353,422,401,421,401,440,353,441	need
78,446,78,420,122,420,122,446	they
551,442,551,421,591,421,591,442	,and
459,441,459,421,508,422,507,441	bold
430,440,430,421,455,421,455,440	be
61,391,61,378,134,378,134,391	success.
60,346,134,346,134,364,60,365	capture
580,363,580,347,600,347,600,363	an
140,362,140,346,221,346,221,362	schemes
390,362,390,345,475,346,475,363	relatively
275,364,275,345,301,345,301,364	so
481,362,481,342,573,343,572,362	low-scale
336,363,336,343,383,343,383,363	been
225,363,225,342,274,342,274,363	have
303,343,333,341,334,363,304,365	far
561,336,561,316,600,316,600,336	[war
176,317,251,315,252,336,177,338	capture
106,335,106,316,172,316,172,335	carbon
417,334,418,314,492,317,491,337	limiting
323,332,324,315,388,316,387,334	crucial
392,317,412,316,413,333,392,334	to
59,335,59,315,103,315,103,335	that
497,314,557,313,558,336,497,338	global
294,314,321,314,321,335,294,335	be
255,314,290,313,291,334,255,335	will
585,295,596,293,598,304,586,305	W
60,290,152,289,152,304,60,305	Scientists
396,304,396,290,488,290,488,304	emissions
193,309,193,287,279,289,279,310	yreducing
157,311,157,287,193,288,192,312	sayn
320,290,389,288,390,305,321,307	world's
493,287,578,286,578,306,494,308	probably
282,287,317,286,318,306,282,307	the
59,257,59,237,135,238,134,259	running
169,255,169,237,222,237,222,256	2026.
141,257,141,238,163,238,163,257	by
572,227,572,212,593,212,593,227	to
515,212,566,209,567,229,516,232	plans
387,228,387,210,508,210,508,228	businessman
318,227,318,210,380,210,380,227	British
189,209,255,209,255,230,189,230	Maybe
60,227,60,210,181,210,181,227	Far-fetched?
260,228,260,208,298,208,298,228	But
461,178,461,163,517,163,517,178	ocean
237,163,280,162,280,181,237,181	year
574,161,600,161,600,178,574,178	POU
179,183,181,158,236,162,235,186	every
396,161,417,160,418,176,397,177	to
60,178,60,159,176,159,176,178	atmosphere
521,177,522,158,570,158,569,178	floor
422,178,422,159,455,159,455,178	the
380,176,380,162,391,162,391,176	it
325,159,374,158,374,178,325,178	sinks
285,178,285,158,323,158,322,179	and
264,135,322,135,322,149,264,150	ocean
190,134,259,134,259,148,191,149	natural
540,150,540,133,597,133,597,150	tonne
400,150,400,133,454,133,454,150	sucks
149,136,166,134,167,149,150,150	in
475,133,534,132,535,148,475,149	billion
61,152,61,131,144,132,144,154	Spinning
384,146,387,133,397,135,395,148	it
325,153,327,129,376,131,375,156	eddy
404,98,404,81,489,82,489,99	America
144,99,144,82,228,83,228,100	between
61,83,141,82,141,99,61,100	Atlantic
339,99,339,80,399,81,398,100	South
298,100,299,80,337,80,336,100	and
234,99,234,82,294,82,294,99	Africa
60,72,61,53,140,55,140,73	Imagine
537,55,597,54,597,70,537,71	floating
461,70,461,53,533,54,533,70	Croatia
391,73,391,53,431,53,431,73	size
213,55,299,53,300,71,214,73	seaweed
159,77,159,52,212,52,212,77	huges
354,73,354,52,391,52,391,73	the
304,72,304,52,352,52,352,72	farm
435,70,437,51,458,54,456,73	of
