126,593,126,570,174,571,173,593	plan
78,588,79,570,124,572,123,590	zero
42,571,77,570,78,588,42,589	'net
2,588,2,570,40,570,40,588	nal'
20,524,94,523,95,540,20,540	capture
98,540,98,520,146,520,146,540	sites
25,492,26,471,85,474,84,495	opens
0,472,23,472,23,491,0,491	nt
196,424,286,424,286,439,196,439	attractive
318,440,318,423,411,423,411,440	investors.
291,439,292,423,314,424,313,441	to
152,441,152,421,190,421,190,441	and
109,446,110,420,149,422,148,448	and
4,441,4,422,27,422,27,441	to
59,440,60,421,107,421,106,440	bold
29,422,55,420,56,440,30,442	be
219,363,220,345,265,347,265,365	seen
0,364,0,341,79,344,78,366	elatively
270,363,270,343,338,343,338,363	limited
81,345,173,343,173,363,81,364	low-scale
176,363,177,341,217,342,217,364	and
294,317,358,316,358,333,294,334	carbon
162,336,162,314,248,316,248,339	lwarming.
18,336,18,316,91,318,91,337	limiting
254,315,292,314,293,334,254,335	Buto
96,317,158,313,159,335,97,338	global
3,292,87,291,87,305,3,306	emissions
184,290,237,289,237,305,184,306	won't
269,307,270,284,344,287,343,310	enough
93,288,179,286,180,309,93,310	probably
347,306,347,286,385,287,384,307	and
242,306,242,287,267,287,267,306	be
2,228,2,212,110,213,110,228	usinessman
116,211,167,210,167,230,116,231	plans
286,232,286,209,316,209,316,232	sup
317,230,317,208,357,208,356,231	and
198,209,244,208,244,227,199,228	have
170,210,193,209,194,228,171,229	stop
246,228,246,208,285,208,285,228	this
305,182,306,161,348,162,348,183	way.
60,177,61,162,118,163,117,178	ocean
174,177,174,161,208,161,208,177	out
0,162,19,160,20,178,0,179	to
121,178,121,159,170,159,170,178	floor
238,177,239,158,301,161,301,180	harm's
21,178,22,158,56,160,55,180	the
211,177,213,157,235,159,233,179	tofh
307,133,342,132,342,150,307,151	out
236,149,236,132,302,133,302,150	carbon
141,149,141,131,206,132,206,149	tonnes
76,149,76,132,135,132,135,149	billion
0,150,1,131,54,132,54,150	sucks
370,150,370,130,405,130,405,150	the
344,130,368,129,369,150,345,151	tof
210,151,210,129,234,129,234,151	soft
4,98,5,80,90,81,90,100	America
243,71,243,53,278,53,278,71	the
136,71,137,53,214,54,214,72	floating
61,54,132,54,132,71,61,71	Croatia
280,53,341,52,341,71,280,72	south
219,55,240,53,241,71,220,72	gin
35,70,37,51,59,53,58,72	of
1,72,1,52,32,52,32,72	ize
