139,337,205,336,206,351,140,352	carbon
212,352,212,335,277,335,277,352	credits.
61,353,61,333,135,333,135,353	backers
341,323,341,306,403,306,403,323	effects
207,307,295,306,295,323,207,323	moderate
510,324,511,306,581,310,580,328	change,
437,323,437,306,504,306,504,323	climate
148,324,149,305,175,306,174,325	air
60,324,60,305,106,305,106,324	from
299,324,300,304,336,305,335,325	the
175,324,176,304,201,305,201,325	rto
110,324,111,304,145,305,144,326	the
408,323,408,303,432,304,432,324	sof
60,299,60,280,169,281,168,300	sargassum.
440,295,440,276,516,279,516,298	floating
219,278,310,277,310,295,220,296	confident
348,296,348,276,436,277,435,296	Seafields
170,277,215,276,216,296,171,297	He's
520,277,567,275,568,296,521,298	farm
571,276,600,275,600,296,571,296	wil
314,297,314,275,345,275,345,297	his
406,253,512,250,512,267,406,270	properties"
308,251,400,250,400,266,309,267	wondrous
131,249,179,247,180,266,132,268	what
58,248,128,247,129,269,59,271	exploit
260,268,260,247,303,248,303,268	"the
213,248,257,247,257,268,213,268	calls
518,268,519,247,541,248,540,269	"of
543,267,543,247,576,247,576,267	the
182,247,209,246,210,266,183,268	the
579,266,579,246,600,246,600,266	flex
579,238,580,222,600,224,600,239	lor
114,223,186,222,186,237,114,237	essman
484,241,484,219,526,219,526,241	sjust
244,237,244,219,334,220,334,237	Auckland
61,236,61,220,115,221,114,236	Busine
529,238,529,219,573,219,573,238	such
341,222,415,221,415,235,342,236	believes
191,236,191,219,240,220,239,237	John
449,219,484,219,485,239,449,240	has
419,218,447,218,448,238,420,239	he
243,173,307,172,307,190,243,191	agrees
480,189,480,172,525,172,525,189	zero
526,171,572,170,572,191,527,192	plan
443,189,443,171,477,171,477,189	'net
311,189,311,170,438,173,438,191	"aspirational'
159,187,159,170,235,172,235,188	aviation
92,171,152,169,152,187,92,189	World
345,140,346,121,414,123,413,141	carbon
188,123,233,121,234,143,189,144	plan
421,122,493,122,493,139,421,140	capture
90,140,90,120,184,122,183,142	Licensing
272,139,272,120,343,121,342,140	seabed
498,139,498,120,545,122,544,141	sites
236,140,236,120,268,120,268,140	for
425,92,425,73,485,73,485,92	opens
289,71,364,71,364,91,289,92	capture
368,92,368,71,421,71,421,92	plant
216,89,216,72,284,72,284,89	carbon
140,90,140,69,213,70,212,92	largest
89,89,89,69,137,71,137,91	UK's
161,45,162,23,217,23,217,46	going
126,41,126,24,159,25,159,42	are
303,44,303,23,348,23,348,44	,they
246,40,247,22,300,25,300,43	work,
77,43,78,21,123,23,122,45	they
459,41,459,22,508,22,508,41	bold
352,22,400,20,401,40,353,42	need
553,21,590,20,590,41,553,42	and
509,43,511,20,547,24,545,46	,big,
429,41,429,21,455,21,455,41	be
404,41,404,21,428,21,428,41	do
221,41,221,21,244,21,244,41	go
60,41,60,22,77,22,77,41	If
