110,325,111,307,183,309,182,327	change,
291,325,291,305,363,307,362,327	earning
36,306,103,305,103,324,36,324	climate
189,306,240,304,241,322,190,324	while
247,323,247,304,287,304,287,323	also
367,304,393,303,394,325,368,326	its
9,304,32,304,32,324,9,324	so
356,295,356,278,401,279,400,296	CO2
263,278,351,278,351,295,264,296	sufficient
211,296,211,277,259,277,259,296	draw
41,295,41,277,115,279,115,297	floating
171,296,171,277,207,277,207,296	will
0,277,37,276,37,296,1,297	elds
120,278,166,276,167,296,121,298	farm
7,254,112,249,113,267,7,271	properties"
261,253,343,251,343,266,262,268	seaweed
180,266,181,247,256,251,255,270	floating
142,267,142,247,176,248,176,268	the
119,267,120,247,141,249,139,269	'of
179,239,179,222,205,222,205,239	an
292,223,347,221,347,238,293,239	wants
1,238,1,222,18,222,18,238	es
84,219,126,218,126,240,85,242	sjust
129,237,130,219,175,222,174,239	such
350,238,350,219,376,219,376,238	to
207,237,208,219,254,219,254,238	idea
256,239,256,218,287,218,287,239	He
49,219,85,218,86,240,50,241	ehas
19,218,47,218,47,238,20,238	help
79,188,80,171,125,172,125,190	zero
42,189,42,171,77,171,77,189	'net
126,172,172,170,173,191,127,192	plan
1,171,40,170,40,188,1,189	nal'
21,123,94,121,95,141,21,143	capture
98,139,99,121,145,122,144,140	sites
26,93,26,72,86,72,85,93	opens
0,74,21,73,22,90,0,91	nt
317,40,318,22,408,23,408,41	investors.
196,24,285,24,285,40,196,41	attractive
153,41,153,22,190,22,190,41	and
110,46,111,21,147,23,146,47	,big,
291,41,291,22,314,22,314,41	to
59,41,59,22,108,22,108,41	bold
3,22,28,21,28,41,3,42	to
28,21,56,21,56,40,29,41	be
