128,542,350,541,350,584,129,585	capturing
358,544,549,540,550,577,359,582	seaweed
2,578,2,542,120,542,120,578	arbon
559,581,559,536,600,536,600,581	fa
235,485,235,465,315,465,315,485	growing.'
148,481,148,465,229,466,229,482	continue
42,463,82,462,82,485,42,486	rjust
120,463,142,463,142,482,120,482	to
0,483,0,461,43,462,42,484	fforj
83,462,117,461,117,482,83,483	fail
192,437,243,436,244,460,192,461	growt
246,455,246,436,302,436,302,455	there
0,456,0,436,31,437,30,457	ons
324,458,325,434,363,436,362,460	fany
146,458,146,433,189,434,189,459	lonly
306,454,306,435,322,435,322,454	If
108,454,108,434,144,434,144,454	will
87,437,103,435,105,452,89,454	it
63,456,63,435,84,435,84,456	it,
31,455,31,433,63,433,63,455	fori
207,424,207,407,255,408,254,425	John
124,426,124,407,202,407,202,426	explains
261,409,354,409,354,421,261,421	Auckland.
21,427,22,406,107,407,107,427	escaping,
192,349,192,330,266,330,266,349	plastics,
111,346,112,329,184,330,184,347	floating
15,346,15,328,81,328,81,346	islands
274,329,361,328,361,345,274,345	Seafields
87,346,87,327,107,327,107,346	NOFF
123,267,123,253,249,253,249,267	accumulating
55,251,98,250,98,269,56,270	that
2,272,3,249,53,250,53,273	bage
317,267,317,251,383,251,383,267	middle
278,249,312,249,313,269,279,270	the
100,268,101,250,118,251,117,269	is
255,251,275,250,276,268,257,269	in
2,242,2,223,49,224,48,243	iddle,'
239,239,240,222,306,224,305,241	known
91,244,91,221,139,222,138,245	says.
191,241,191,221,236,221,236,241	best
142,243,142,220,188,220,188,243	"The
61,221,89,220,90,242,62,243	"he
267,149,324,149,324,164,267,164	ocean
84,151,178,149,178,162,84,163	enormous
182,164,183,146,261,147,261,165	rotating
1,163,1,143,55,144,54,163	weed
58,160,59,145,76,146,75,161	in
23,133,23,116,111,116,110,133	Scientific
269,137,269,113,317,113,317,137	slong
115,135,115,115,198,115,198,135	Founder
1,135,1,116,21,116,21,135	eir
320,115,369,114,369,134,320,134	been
203,134,203,114,231,114,231,134	,he
232,135,233,113,269,114,269,136	has
227,105,227,88,293,88,293,105	marine
104,106,104,86,204,87,203,107	Smetacek,
41,106,41,87,101,87,101,106	Victor
0,105,0,85,40,87,39,107	Prof
125,66,139,64,140,76,126,77	in
10,77,11,58,115,60,115,79	technology
184,62,278,59,278,73,184,76	Caribbean
285,77,285,57,323,58,323,78	and
143,78,144,57,179,59,178,80	the
199,19,199,6,250,6,250,19	ocean
152,21,152,5,197,5,196,22	open
13,5,94,5,94,17,13,18	contained
100,18,100,5,116,5,116,18	in
118,19,118,2,150,3,149,20	the
