0,222,53,222,53,241,0,241	scale."
55,230,55,223,60,223,60,230	in
268,212,268,197,336,198,336,213	no-one
1,215,1,197,88,197,88,215	everyone
220,217,221,196,262,196,262,217	way,
343,195,400,195,400,211,343,211	would
93,196,171,193,172,214,93,217	thought
175,214,175,194,218,194,218,214	that
404,212,404,194,430,194,430,212	be
0,185,0,166,50,166,50,185	icant
319,168,371,166,371,182,319,184	crisis.
244,168,313,167,313,184,244,185	climate
53,166,104,165,105,187,53,188	gains
132,185,132,166,200,167,199,186	solving
415,165,467,163,468,184,416,186	can't
205,166,238,165,239,184,206,185	the
376,165,415,164,415,183,377,184	You
107,184,107,166,129,166,129,184	in
1,94,17,94,17,104,2,105	name
16,104,16,94,28,94,28,104	a
274,90,305,90,306,106,274,107	are
402,111,402,88,439,88,439,111	put
310,105,310,89,372,91,371,106	willing
182,89,268,88,268,106,182,106	investors
136,88,178,88,178,106,136,106	that
32,109,32,87,80,88,79,110	daily
83,89,131,88,132,105,84,106	basis
377,87,401,86,402,108,378,109	gop
0,41,19,40,19,56,0,57	le.
184,13,258,11,259,28,185,30	process
0,14,25,12,26,28,0,29	me
357,31,357,11,431,11,431,31	proven,
319,11,355,10,355,31,319,32	tyet
31,26,31,10,117,13,117,28	elements
262,29,263,9,321,11,321,31	aren'ty
433,28,433,10,470,10,470,28	,but
146,28,147,9,180,11,180,29	the
120,29,121,8,145,9,144,30	soft
