0,332,0,319,40,319,40,332	come
158,316,235,315,235,332,158,333	Sardinia.
68,316,154,314,154,333,69,334	symbolise
42,316,65,315,66,333,43,335	tose
251,290,280,289,281,304,251,306	are
282,289,314,287,315,304,283,306	not
169,307,169,288,247,288,247,308	buildings
26,304,26,288,162,288,161,305	beehive-shaped
0,288,23,287,23,305,0,305	ble
316,305,316,286,368,286,368,305	found
174,278,174,261,231,261,231,278	routes,
237,260,276,259,276,274,238,275	river
56,276,56,260,117,260,117,276	ancient
12,275,13,259,51,260,51,276	over
281,277,282,256,363,259,362,279	crossings
122,275,122,259,169,260,169,276	trade
137,247,137,232,212,232,212,247	northern
0,233,22,232,22,249,0,250	vn
285,231,344,230,344,251,285,252	region,
217,248,217,232,281,232,281,248	Gallura
25,250,25,231,85,232,85,250	valleys
88,248,88,230,108,230,108,248	sofi
108,249,108,228,133,228,133,249	fits
50,205,128,205,128,219,51,219	southern
234,204,278,202,279,223,236,225	plain
133,204,231,203,232,220,133,221	Campidano
0,219,1,202,47,203,46,220	linias
304,202,337,202,337,220,304,220	the
281,203,303,201,305,220,282,222	nto
55,190,55,176,108,178,107,192	across
291,176,360,175,360,191,291,191	second
148,190,148,177,285,177,285,190	Mediterranean's
1,176,49,175,49,191,2,192	isible
112,192,112,174,144,174,144,192	the
11,110,11,108,13,108,13,110	-
10,107,10,105,11,105,11,107	I
21,118,21,102,47,102,47,118	,on
151,117,152,100,198,101,198,118	other
4,104,15,103,16,116,5,117	h,
222,103,230,101,233,113,225,115	a
237,116,238,98,323,100,322,118	truncated
105,117,106,99,148,101,147,119	feach
47,120,48,99,81,99,81,121	top
202,117,202,100,224,100,224,117	rina
81,118,81,98,105,98,105,118	Doff
308,91,308,72,375,73,375,92	,roughly
188,73,252,72,252,91,188,92	placing
3,73,78,73,78,88,3,89	structed
254,92,255,70,304,72,303,94	ghuge,
82,93,83,71,108,72,107,94	dby
108,90,109,70,184,72,183,92	ycarefully
225,59,225,45,305,46,305,60	1200BCE,
137,61,137,45,182,45,182,61	1600
311,44,362,44,362,62,311,62	these
58,59,58,46,131,47,131,60	between
12,60,12,44,54,44,54,60	Built
186,61,186,43,220,43,220,61	and
242,18,303,17,304,37,242,38	tpepper
0,31,0,19,16,19,16,31	ve
86,18,133,18,133,32,86,33	stone
139,31,139,17,196,17,196,31	towers
21,33,21,17,80,17,80,33	conical
200,32,201,16,239,17,238,33	that
307,33,307,15,339,15,339,33	the
