121,519,121,513,148,513,148,519	not
16,519,16,513,43,513,43,519	grand
48,512,124,511,124,519,49,520	cariolic
167,519,167,511,252,512,252,520	dafander
280,520,281,508,313,509,312,520	the
258,520,258,508,276,508,276,520	of
0,478,0,461,19,461,19,478	or
60,476,61,456,129,456,129,476	Nelson
24,477,24,457,57,457,57,477	Bill
158,431,245,431,245,449,159,449	whatever
65,452,65,429,120,430,120,453	ready
11,432,32,430,33,448,13,450	to
288,445,289,427,373,430,372,448	Universe
250,449,250,429,284,429,284,449	the
123,450,123,429,154,429,154,450	/for
36,449,36,429,62,429,62,449	be
41,381,116,380,116,398,41,399	massive
0,402,0,379,37,380,36,403	erlyr
248,355,286,354,286,371,248,372	was
82,372,82,352,135,353,134,373	work,
290,371,290,351,368,351,368,371	initiated
140,355,221,351,222,368,141,372	provided
18,353,77,352,77,368,19,370	would
74,293,75,273,155,277,153,297	[strategy
1,276,69,274,69,291,2,293	otential
293,274,346,274,347,292,293,293	Earth
185,275,250,274,250,292,186,292	defend
158,294,158,274,183,274,183,294	to
254,293,255,273,290,274,290,294	the
330,217,331,197,388,198,387,218	range
114,213,114,200,251,200,251,213	measurements
36,215,36,197,105,198,104,215	making
256,214,257,196,310,200,309,218	using
0,197,32,196,32,215,1,216	fter
161,136,161,119,219,119,219,136	struck
50,137,51,118,96,120,95,138	Dart
98,119,155,117,156,138,99,140	tprobe
12,138,12,117,47,118,47,138	the
295,138,295,117,324,118,323,138	don
325,137,325,117,363,117,363,137	last
243,136,244,117,292,119,291,138	head
224,135,224,118,239,118,239,135	it
68,105,68,96,77,96,77,105	7by
246,110,247,91,301,92,301,111	space
304,108,304,90,350,90,350,108	rock
174,89,242,88,242,112,174,114	(520ft)
74,91,170,91,170,107,74,107	160m-wide
21,107,22,88,43,89,42,109	tof
0,29,0,13,53,13,53,29	ecent
277,12,324,11,324,32,277,33	path
353,30,354,12,380,13,380,31	an
57,30,57,10,136,11,136,31	attempt
168,28,168,13,237,13,237,28	deflect
238,30,239,10,275,11,274,31	the
139,11,165,9,166,30,140,32	to
327,30,327,10,351,10,351,30	of
