77,135,77,134,78,134,78,135	Distribution:
202,138,203,122,243,124,243,140	may
551,127,551,126,552,126,552,127	Electric)
66,121,136,121,136,140,66,140	Impact
493,121,557,120,557,137,493,138	cousin
279,137,279,121,365,125,364,141	dinosaur
248,137,248,120,274,120,274,137	be
440,137,441,119,487,121,486,139	baby
139,136,139,120,199,120,198,137	crater
369,138,369,118,438,118,438,138	killers
163,88,163,73,186,73,186,88	as
190,86,191,70,241,71,240,88	Nasa
438,87,439,70,479,71,479,88	into
332,74,435,70,436,87,332,91	spacecraft
483,73,564,70,565,87,484,91	asteroid
67,70,128,69,128,87,67,88	Direct
130,88,130,69,161,70,161,88	hit
243,70,328,69,328,87,243,88	smashes
216,38,216,21,269,22,268,39	Nasa
270,21,329,19,329,38,271,41	probe
333,37,334,22,396,25,395,40	leaves
186,41,187,20,213,22,212,42	by
504,21,545,20,546,38,504,39	trail
155,21,184,20,185,38,156,39	hit
67,36,68,18,153,21,152,39	Asteroid
399,40,399,19,501,19,501,40	10,000km
