243,348,243,324,290,325,289,349	lpath
10,345,10,326,108,326,108,345	tightening
176,344,177,325,241,325,241,345	orbital
138,344,138,324,173,325,172,344	the
304,346,306,324,333,327,331,349	-by
113,325,136,324,137,344,114,346	yof
148,300,264,298,265,313,148,316	corresponds
16,315,16,296,93,296,93,315	minutes.
100,315,100,295,144,295,144,315	This
270,315,270,296,294,296,294,315	to
21,285,21,267,85,268,85,286	orbital
155,268,190,267,190,287,156,287	has
88,269,150,267,150,285,89,287	period
247,270,322,267,323,284,248,287	reduced
193,285,193,267,242,267,242,286	been
328,286,328,266,353,266,353,286	to
223,209,223,193,261,193,261,209	one
267,208,267,191,324,191,324,208	circuit
32,191,136,190,136,208,32,208	Dimorphos
168,209,168,191,219,191,219,209	make
0,210,0,189,27,189,27,210	for
139,189,165,188,166,210,140,211	stor
329,209,330,188,354,189,353,211	of
165,160,224,160,225,182,165,183	object
26,182,26,160,78,161,78,183	wide;
228,180,229,160,286,161,286,180	called
0,162,24,161,24,181,0,181	mill
83,182,83,159,160,160,160,184	;2,550ft)
92,118,164,115,165,130,92,133	process.
53,131,53,111,88,112,87,132	the
28,130,28,112,50,112,50,130	fin
2,131,2,111,29,111,29,131	elfi
0,101,0,88,14,88,14,101	te
72,85,147,83,147,102,72,104	straight
195,83,301,82,302,103,196,104	Dimorphos
304,103,306,83,330,85,328,105	at
20,100,20,83,68,83,68,100	drive
151,83,192,82,193,101,152,102	into
213,16,213,12,217,12,217,16	the
217,14,217,12,219,12,219,14	the
144,24,144,8,196,8,196,24	some
233,7,296,7,296,22,233,23	million
206,11,222,9,223,19,208,22	11
87,7,139,4,140,25,88,28	<place
0,26,0,5,36,5,36,26	art)
39,5,84,4,84,24,39,25	took
301,24,301,4,333,4,333,24	km
