277,561,326,560,327,572,277,573	scene
369,557,417,556,418,579,369,580	playsi
445,558,487,556,488,577,446,579	part.
330,574,330,556,367,557,366,575	also
172,573,173,556,238,559,237,576	viewing
45,574,45,557,95,557,95,574	which
241,574,241,556,273,556,273,574	the
100,572,100,557,150,558,149,573	Webb
417,555,442,554,442,575,418,576	sits
154,573,154,557,169,557,169,573	is
356,546,356,543,367,543,367,546	-
495,551,495,533,564,533,564,552	pattern,
249,547,249,534,349,535,349,548	unevenness
86,533,158,533,158,549,86,550	explains
407,547,408,530,492,534,491,551	bull's-eye
374,532,405,531,405,549,374,550	the
194,551,194,531,246,532,245,552	slight
160,532,192,531,193,550,161,550	the
567,532,599,530,600,548,568,550	,but
43,531,84,530,85,551,44,552	This
268,505,269,489,349,491,349,508	approach.
179,504,179,488,199,488,199,504	at
144,505,144,487,178,487,178,505	,not
91,504,91,487,140,489,139,506	other
46,504,47,487,87,488,87,505	each
202,486,264,486,264,503,202,503	closest
581,479,581,465,600,465,600,479	ar
211,485,211,462,285,462,285,485	greatest
509,465,577,464,577,479,509,479	towards
455,479,455,464,504,464,504,479	move
46,464,139,463,140,479,46,481	production
408,479,408,463,453,464,453,480	stars
286,481,286,463,334,463,334,481	when
370,463,405,462,406,478,370,479	two
336,480,337,462,369,463,369,481	the
162,480,162,462,183,462,183,480	ati
144,478,144,464,159,464,159,478	is
183,480,183,461,208,461,208,480	its
259,455,259,438,315,438,315,455	create
237,440,254,440,254,453,237,453	to
149,455,150,437,232,437,232,455	compress
446,451,447,437,553,439,553,453	Interestingly,
362,438,439,437,440,454,362,455	particles.
315,454,316,435,359,437,358,456	dust
94,453,95,435,145,436,145,454	winds
561,438,595,435,596,453,562,456	this
44,454,44,435,91,435,91,454	Their
56,400,56,397,59,397,59,400	I
112,411,112,392,199,393,199,412	eight-year
363,407,363,393,410,393,410,408	other
317,407,317,391,359,391,359,407	each
252,393,312,391,313,406,252,408	around
205,407,205,391,247,392,247,407	orbit
65,407,65,390,108,391,108,408	their
540,368,588,367,588,383,540,383	come
236,385,236,368,266,368,266,385	are
473,384,473,366,536,367,536,385	objects
433,383,434,366,470,366,470,384	two
270,385,270,367,341,367,341,385	pumped
121,367,174,366,174,383,121,384	shells.
378,367,398,367,399,382,379,383	as
343,384,343,366,376,366,376,384	out
45,384,45,366,76,366,76,384	the
401,383,401,365,433,365,433,383	the
180,383,180,364,234,365,234,384	These
78,383,79,365,120,366,120,383	dusts
578,360,578,344,597,344,597,360	pro
477,360,477,339,539,339,539,360	explain
347,341,431,340,431,355,348,356	behaviour
215,342,303,340,304,356,216,358	properties
144,359,144,339,211,340,211,360	binary's
542,359,542,338,575,339,575,360	the
435,358,435,339,475,339,475,358	that
308,357,308,339,343,340,343,358	and
108,358,108,339,140,339,140,358	the
79,357,80,338,107,339,107,358	tit's
45,358,45,339,79,339,79,358	Buti
94,301,158,300,158,311,94,312	masses.
45,312,45,295,89,295,89,312	solar
132,285,132,271,175,273,175,287	mass
521,289,522,271,598,272,597,290	probably
318,284,319,268,414,273,413,289	Wolf-Rayet,
46,271,93,270,93,287,46,288	times
503,274,515,272,516,285,505,286	is
421,286,421,269,496,271,496,288	,however,
203,287,203,270,233,270,233,287	our
276,288,276,268,314,268,314,288	The
234,287,235,269,275,270,274,288	SUN
179,288,179,269,200,269,200,288	so
96,288,96,268,127,268,127,288	the
482,263,482,247,505,247,505,263	an
380,262,380,247,476,247,476,262	companion,
174,247,235,246,235,259,174,260	started
572,263,572,244,600,244,600,263	esta
239,262,239,244,273,244,273,262	out
85,262,86,244,121,245,121,263	one
508,266,508,242,572,243,571,267	O-types
327,245,349,244,350,262,328,263	gas
273,263,273,244,294,244,294,263	as
350,263,350,243,375,243,375,263	its
122,264,122,242,170,243,169,265	likely
43,263,43,243,84,243,84,263	This
296,265,296,242,325,242,325,265	big
74,213,74,202,90,202,90,213	A
433,214,433,200,510,201,510,215	darkness
253,215,253,200,309,200,309,215	search
154,201,225,200,225,214,154,215	machine
231,215,231,200,248,200,248,215	in
91,200,148,200,148,216,91,216	$10bn
370,214,370,198,404,199,404,215	end
407,200,427,197,429,214,409,216	lof
336,216,336,198,367,198,367,216	the
314,216,314,198,335,198,335,216	oft
332,157,386,157,386,171,332,171	James
446,172,447,154,531,156,531,174	telescope
221,155,299,155,299,173,222,174	captured
141,173,141,156,218,156,218,173	Neptune
73,175,73,154,136,154,136,175	Ringed
391,171,391,154,443,155,442,172	Webb
304,175,305,155,328,156,327,176	by
404,133,404,112,457,112,457,133	space
135,112,202,111,202,132,135,133	,sparkly
458,131,458,111,515,111,515,131	image
289,113,346,112,346,127,290,128	James
206,112,264,111,264,128,206,129	object
76,131,76,111,130,112,130,131	'Shiny
351,128,351,111,402,111,402,129	Webb
270,113,285,113,285,126,270,126	in
426,69,496,68,496,85,426,86	gaseous
155,67,184,67,184,83,155,83	are
501,81,501,67,550,68,550,82	winds
187,82,188,65,265,68,265,85	unwieldy.
46,83,46,67,151,68,151,85	Wolf-Rayets
375,65,421,64,421,87,375,88	vhuge
319,82,320,66,373,67,372,84	billow
269,88,269,64,317,65,316,90	Y.They
552,83,552,65,589,65,589,83	into
77,24,111,23,111,40,77,41	one
114,39,114,22,164,23,164,40	that's
167,39,168,22,241,24,241,41	reaching
316,41,316,21,337,21,337,41	ofi
244,21,276,20,277,39,245,40	the
42,44,44,19,75,21,73,47	big
335,21,361,20,362,39,336,40	fits
279,39,279,20,313,21,313,39	end
363,39,363,19,399,19,399,39	life
431,2,532,2,532,12,431,13	"Wolt-Rayet".
278,16,278,0,342,0,342,16	system
171,15,171,0,220,0,220,15	name
344,1,396,0,396,13,344,14	reters
137,13,137,0,170,1,169,14	the
117,14,117,1,134,1,134,14	In
245,14,245,0,277,0,277,14	the
83,14,83,0,116,0,116,14	WR
539,12,539,0,596,0,595,14	It'sat
398,12,400,0,419,1,418,14	to
222,14,222,0,245,0,245,14	of
45,0,79,0,80,12,46,14	The
