1,470,51,469,51,485,1,485	shells.
233,444,270,442,271,462,234,464	give
132,446,205,445,205,458,132,458	removed
83,460,83,443,128,444,128,460	been
37,443,80,443,81,460,38,461	have
0,461,0,443,34,443,34,461	ikes
210,461,210,442,232,442,232,462	to
14,416,14,402,46,402,46,416	can
238,401,291,400,291,416,238,416	effect.
130,416,130,399,228,399,228,417	s"snowflake"
49,400,90,398,91,415,49,417	have
92,416,93,397,127,398,126,416	this
230,389,231,373,285,374,285,390	mirror
128,374,224,373,224,392,128,393	segmented
50,389,50,374,122,374,122,389	lescope's
27,389,27,374,53,374,53,390	tele
0,374,23,373,24,389,0,391	the
66,344,66,330,111,331,111,345	stars.
2,344,2,328,62,329,62,344	central
106,320,106,304,131,304,131,320	lon
0,321,0,305,19,306,18,322	at
189,320,189,303,243,305,243,322	media,
23,305,101,303,102,320,23,322	appeared
249,322,249,302,295,303,295,323	eight
134,319,134,303,183,304,183,320	social
92,249,92,235,120,235,120,249	are
45,248,45,234,88,234,88,248	stars
222,249,222,232,275,233,275,250	enrich
122,251,122,231,194,232,194,251	thought
18,232,44,231,44,253,18,253	dbys
0,250,0,232,17,233,17,250	ed
195,249,195,230,219,230,219,249	to
0,225,0,210,36,210,36,225	hem
39,226,39,209,64,209,64,226	ON
225,224,225,207,256,207,256,224	the
118,224,118,206,165,206,165,224	toast
68,208,114,207,114,222,68,223	burnt
203,207,222,206,223,224,204,225	in
169,206,200,205,201,223,169,224	and
171,198,171,183,221,183,220,198	PAHs.
44,199,44,180,165,182,165,201	chydrocarbons,
0,198,0,181,40,181,40,199	natic
226,181,279,181,280,198,226,199	These
0,155,0,138,19,138,19,155	eir
23,140,134,137,134,153,24,155	composition.
173,84,173,66,239,66,239,84	analysis
90,83,90,66,133,66,133,83	done
50,83,50,65,87,65,87,83	also
16,82,16,66,47,66,47,82	but
265,83,265,65,297,65,297,83	fthe
242,84,242,65,265,65,265,84	soft
135,83,136,65,168,65,168,83	the
9,57,10,43,29,45,28,58	or
256,59,256,42,289,42,289,59	not
181,41,219,41,220,57,181,58	ithat
73,57,73,41,110,41,110,57	And
221,41,253,40,254,58,222,59	has
31,57,32,40,72,40,71,58	Miri
143,57,143,39,180,40,179,58	Miri
113,58,114,39,141,40,140,59	dit's
221,35,222,16,272,17,271,35	space
115,16,152,16,153,31,116,32	with
2,31,2,17,98,17,98,31	onstruction
190,30,190,16,217,16,217,31	US
156,15,186,15,186,31,156,32	the
