262,260,263,244,308,245,308,261	Check
206,261,207,244,258,247,258,263	Reality
78,258,78,245,146,246,146,259	Produced
149,263,150,244,171,245,170,264	dby
172,259,172,244,205,245,204,260	BBC
222,205,299,205,299,222,222,222	Jacqueline
133,206,196,206,196,223,133,223	graphics
78,219,78,205,130,206,129,221	Motion
302,219,302,205,350,206,350,219	Galvin
196,224,197,204,220,204,219,224	sby
285,166,348,165,348,181,285,182	explains.
115,179,115,166,190,167,189,180	Weather's
194,179,194,164,243,165,242,179	Louise
77,179,77,164,112,165,112,180	BBC
246,165,282,163,283,180,247,182	Lear
373,139,373,133,381,133,381,139	11
496,141,496,126,551,126,550,142	change
385,143,386,125,415,126,415,143	fany,
553,140,553,126,599,127,599,141	having
160,141,160,125,196,126,195,143	they
437,138,437,126,490,127,490,139	climate
271,140,271,126,308,126,308,140	what
419,126,432,126,432,139,419,140	,is
312,142,312,125,366,125,366,142	impact,
238,125,268,125,268,139,238,140	and
196,125,234,124,235,139,197,141	form
100,126,134,124,135,139,101,141	phow
135,140,135,124,158,124,158,140	not
75,140,75,123,99,123,99,140	So
137,101,138,89,176,89,176,101	more
78,89,133,88,133,103,78,104	getting
180,89,252,87,253,102,180,103	powerful.
582,79,583,69,597,70,596,80	se
164,68,189,68,189,79,164,80	are
192,81,193,67,245,67,245,81	among
431,79,431,67,454,67,454,80	son
377,79,377,67,429,67,429,79	storms
277,79,277,66,317,66,317,80	most
534,79,534,67,587,67,587,79	there's
248,66,275,65,275,80,248,80	the
77,79,77,66,160,67,160,80	Hurricanes
502,79,502,65,531,66,531,80	and
320,65,372,65,372,79,320,80	violent
454,65,497,63,497,79,455,80	Earth
244,21,244,19,246,19,246,21	the
474,13,545,12,545,32,474,32	more
371,38,371,10,471,10,471,38	getting
550,11,600,10,600,33,551,34	viol
302,34,304,6,365,10,362,39	they
77,32,77,9,242,12,242,35	Hurricanes:
236,30,237,6,296,8,296,32	BARE
