21,557,91,556,91,572,21,573	increase
242,558,333,555,333,574,243,577	yprotected.
129,572,129,555,196,556,196,573	amount
199,575,200,553,240,556,239,577	they
93,574,93,553,127,553,127,574	the
502,533,596,533,596,546,502,546	governmen
294,547,294,528,340,529,339,548	work
19,549,19,528,92,528,92,549	England
418,530,495,529,495,545,419,546	devolved
254,530,291,528,292,546,255,548	also
383,545,383,529,414,529,414,545	the
341,529,381,528,381,545,341,546	with
198,529,252,529,252,546,198,546	would
94,529,130,528,130,547,94,547	land
171,546,171,528,194,528,194,546	the
131,546,132,527,168,528,167,547	said
268,506,340,505,340,520,268,520	Johnson
143,506,211,504,212,519,144,520	minister
87,522,87,503,140,504,139,523	prime
547,520,548,503,586,504,585,521	with
343,520,343,503,393,503,393,520	made
18,521,18,502,84,503,84,522	Former
432,517,432,502,542,503,542,518	commitment
217,519,217,502,264,504,263,521	Boris
395,503,428,502,428,521,395,522	the
224,475,224,459,311,460,311,477	December
118,474,118,460,196,460,196,474	Montreal
204,467,208,462,212,465,208,470	in
89,475,89,460,114,460,114,475	-in
21,474,21,460,83,460,83,474	COP15
295,443,298,441,300,445,297,447	a
583,450,583,435,600,435,600,450	PC
307,452,307,434,359,434,359,452	majori
20,448,20,435,119,436,119,448	Framework
268,434,288,434,288,451,268,451	lat
155,450,155,434,174,434,174,450	to
123,434,153,433,154,451,124,452	(set
478,451,478,432,577,433,577,452	biodiversity
361,435,470,434,470,449,361,450	international
204,432,267,431,267,452,204,453	agreed
179,450,179,433,200,433,200,450	be
95,420,95,413,100,413,100,420	I
211,411,324,410,324,425,211,426	cornerstones
117,425,117,408,152,408,152,425	one
20,424,20,407,76,408,76,424	30x30.
384,410,475,408,475,422,385,424	Post-2020
543,423,543,405,599,407,598,424	Biodiv
479,424,479,407,539,407,539,424	Global
177,425,177,407,208,407,208,425	the
80,406,116,406,116,425,80,425	Itis
154,425,154,406,176,406,176,425	of
349,425,349,406,382,406,382,425	ftp>
327,425,327,406,350,406,350,425	soft
152,384,233,383,233,398,152,399	countries
520,401,521,380,582,382,581,403	epledge
238,385,297,383,298,397,238,399	around
435,399,435,382,484,382,484,400	made
389,383,431,382,432,397,390,399	have
335,382,385,381,386,398,336,399	world
486,382,518,381,518,400,486,401	the
302,400,302,382,333,382,333,400	the
114,381,149,380,150,401,115,402	100
18,382,66,381,66,398,18,399	More
68,399,69,381,110,383,109,401	than
540,356,541,337,597,338,596,357	target.
222,354,222,339,257,339,257,355	was
60,342,160,338,161,349,60,353	government
263,341,352,339,352,350,263,351	committed
457,338,489,337,490,354,457,355	the
382,354,383,335,454,339,453,357	meeting
491,354,492,336,537,337,537,355	2030
365,347,373,339,379,345,371,353	to
16,336,54,335,54,355,17,356	The
166,353,167,335,203,336,202,354	saidi
143,311,143,293,186,293,186,311	been
190,310,190,293,242,293,242,310	made
19,296,103,292,104,312,20,316	progress"
104,292,139,290,140,309,105,311	"had
19,284,19,269,96,270,96,284	However
552,283,552,268,568,268,568,283	in
510,284,510,267,550,267,550,284	that
469,288,470,265,510,266,510,289	says
321,269,424,267,424,284,321,286	Countryside
184,288,184,267,209,267,209,288	yby
428,284,428,267,468,267,468,284	Link
282,284,283,266,317,267,316,284	and
133,287,133,265,183,266,183,287	study
572,284,572,266,597,266,597,284	Engine
211,267,279,265,279,284,212,286	Wildlife
100,266,132,265,132,285,100,286	the
58,241,58,225,163,225,163,241	catastrophic
230,244,230,223,295,223,295,244	fspecies.
166,240,166,223,203,223,203,240	loss
20,240,20,222,55,222,55,240	and
206,240,207,221,229,222,228,241	sofs
573,215,573,199,600,199,600,215	enat
73,215,73,199,93,199,93,215	as
416,213,416,199,512,199,512,213	destruction
312,214,312,199,332,199,332,214	to
234,198,308,198,308,214,234,215	initiative
96,217,96,197,135,197,135,217	part
19,217,19,197,69,197,69,217	2030,
173,197,232,195,232,217,174,218	globali
538,214,538,196,571,196,571,214	fther
334,197,375,196,376,213,335,214	slow
378,214,379,195,411,196,411,215	the
517,214,517,195,538,195,538,214	oft
136,214,137,195,159,196,158,216	tofa
418,189,418,174,438,174,438,189	at
58,173,163,172,163,189,58,190	government
322,191,322,171,413,171,413,191	protecting
202,172,294,172,294,186,202,187	committed
553,171,593,171,593,188,553,189	land
439,171,485,171,485,188,439,189	least
300,189,300,172,319,172,319,189	to
531,188,532,170,553,171,552,190	ofl
486,189,486,169,529,170,529,190	30%
165,188,165,170,198,170,198,188	has
16,190,16,170,53,170,53,190	The
216,144,216,129,253,129,253,144	new
203,142,204,131,213,132,212,143	a
255,127,320,127,320,149,256,149	vreport.
88,145,89,129,172,130,172,146	according
20,145,20,128,82,128,82,145	nature,
177,129,198,128,199,144,178,145	go
575,123,575,104,600,105,600,124	prov
425,117,425,103,455,103,455,117	sea
220,100,294,100,294,120,221,121	England
480,115,480,101,569,101,568,116	effectively
200,116,200,103,215,103,215,116	in
391,117,391,100,423,100,423,117	the
368,118,368,100,390,100,390,118	off
334,119,334,98,368,99,367,120	18%
297,119,297,99,333,99,333,119	and
155,118,155,100,196,100,196,118	land
121,120,121,100,154,100,154,120	fthell
99,120,99,100,121,100,121,120	of
17,122,17,98,64,99,64,123	Only
458,117,458,100,475,100,475,117	is
65,123,65,98,99,98,99,123	3%
108,45,108,33,212,34,212,46	correspondent,
251,44,252,29,294,30,293,45	News
217,45,217,30,250,30,250,45	BBC
61,45,61,30,106,30,106,45	affairs
18,45,18,30,59,30,59,45	Rural
115,19,115,2,202,3,202,19	Marshall
51,21,51,4,108,4,108,21	Claire
18,25,20,2,48,4,47,27	By
