0,545,0,533,14,533,14,545	e
100,532,214,530,214,546,100,548	governments
19,545,19,530,96,530,95,545	devolved
216,546,217,528,239,528,238,547	to
147,504,186,504,186,520,148,520	with
190,504,245,502,246,521,190,522	regard
0,504,27,504,27,520,0,520	the
31,520,32,503,144,504,144,521	commitment
250,520,250,502,271,502,271,520	to
182,435,277,433,278,450,182,452	conference
1,435,71,433,71,448,2,450	national
79,448,79,434,176,437,176,451	biodiversity
79,424,79,407,139,407,139,424	Global
1,422,1,407,75,408,75,423	ost-2020
144,423,144,409,247,409,247,423	Biodiversity
259,399,259,386,278,386,278,399	as
120,384,181,383,182,402,121,403	pledge
2,399,2,384,32,384,32,399	ave
36,384,83,383,83,398,36,399	made
196,383,254,382,254,399,196,399	known
86,382,117,382,118,399,86,400	the
141,338,198,337,198,355,141,356	target.
0,355,1,337,54,339,54,357	eeting
93,339,136,338,137,352,93,353	2030
58,338,87,337,88,354,58,355	the
173,285,174,265,245,267,245,287	England
70,288,70,267,109,267,109,288	says
0,268,26,267,27,284,0,285	ide
249,283,249,267,298,268,297,284	""little
111,267,149,267,149,284,111,284	that
151,285,151,267,171,267,171,285	tin
29,267,67,266,68,284,30,286	Link
174,200,235,198,235,212,175,214	natural
15,212,16,199,111,200,110,214	destruction
241,197,289,196,289,212,241,213	world
139,197,169,195,170,213,139,214	fthe
117,215,117,196,138,196,138,215	of
232,188,233,172,263,173,263,189	sea
87,188,87,171,128,172,128,189	30%
197,172,231,171,232,187,197,188	and
154,171,194,170,194,187,155,188	land
19,172,37,172,37,187,19,188	at
131,188,131,171,151,171,151,188	of
40,188,40,170,84,170,84,188	least
263,190,266,169,290,172,287,193	aby
25,118,25,103,56,104,56,118	sea
176,103,261,100,262,117,177,120	protected
79,118,79,100,172,104,171,121	effectively
265,118,265,101,294,101,294,118	for
0,102,22,101,22,118,0,118	he
58,117,59,101,76,102,75,118	ais
