8,285,49,285,49,297,8,297	who
176,223,216,222,216,246,176,246	any
120,243,120,223,172,223,172,243	than
222,243,222,223,280,225,280,245	other
4,242,4,223,54,223,54,242	BBCI
57,243,57,221,116,221,116,243	News
0,145,0,133,13,133,13,145	e
100,132,213,129,214,146,101,149	governments
19,144,19,129,96,130,96,145	devolved
216,128,239,128,239,146,216,147	to
147,119,147,104,186,104,186,120	with
190,103,247,102,247,122,190,123	regard
0,120,0,103,28,103,28,120	the
31,107,143,106,143,118,31,118	commitment
250,102,272,101,272,120,250,121	to
182,34,279,33,279,49,183,50	conference
78,48,78,35,176,36,176,50	biodiversity
2,36,72,33,72,47,3,50	national
1,8,74,7,74,22,1,23	ost-2020
143,24,143,5,250,8,249,27	Biodiversity
79,8,138,7,139,23,80,24	Global
