111,598,111,586,176,587,176,599	nature's
362,586,466,585,467,598,362,598	government
48,599,48,586,65,586,65,599	to
474,594,474,587,481,587,481,594	is
274,600,274,582,320,583,319,600	2030
182,600,182,583,243,584,243,600	decline
558,600,558,582,599,583,599,600	back
489,600,489,583,554,583,554,600	limping
326,600,326,583,358,583,358,600	the
69,600,69,583,104,583,104,600	halt
248,600,248,583,272,583,272,600	by
140,560,220,558,221,574,140,575	executive
521,573,521,558,567,560,567,574	show
458,557,518,555,519,575,458,576	figures
412,575,412,557,455,557,455,575	hour
226,559,289,558,290,573,226,574	Richard
91,574,91,557,137,557,137,574	chief
570,574,570,557,599,558,599,575	_tha
369,574,369,557,409,557,409,575	said:
296,559,364,557,365,572,297,574	Benwell
46,557,88,556,89,575,46,576	WCL
223,528,224,513,273,515,272,531	most".
47,515,129,513,130,530,47,532	protected
135,536,135,513,158,513,158,536	by
190,529,192,510,223,513,221,533	o""atr
159,531,159,511,192,511,192,531	/4%
550,505,550,488,600,488,600,505	amou
134,489,218,488,218,503,134,504	Protected
70,489,129,487,129,502,71,503	Marine
433,502,433,487,511,487,511,502	increased
222,504,223,486,276,487,276,506	Areas,
47,504,47,488,67,488,67,504	of
391,504,391,484,430,485,429,505	shadi
356,504,356,486,391,486,391,504	this
314,503,315,485,356,487,355,505	that
516,485,547,484,548,504,517,505	the
279,484,314,483,315,504,279,505	but
544,480,544,463,594,463,594,480	some
80,479,80,463,148,463,148,479	amount
423,462,540,461,540,480,423,481	strengthened
174,462,259,460,260,482,174,484	fprotectedly
46,462,77,461,77,477,47,478	the
262,461,304,460,304,477,262,479	land
150,478,152,460,173,462,171,481	tofp
383,478,383,459,421,459,421,478	also
367,478,367,461,380,461,380,478	it
327,478,327,459,362,459,362,478	said
310,478,310,461,324,461,324,478	It
113,448,113,444,117,444,117,448	I
47,454,47,438,104,438,104,454	nature
178,455,178,437,216,437,216,455	new
568,455,569,436,600,437,600,456	,add
355,452,355,437,435,438,435,452	Scientific
129,437,175,437,175,454,129,454	three
438,437,506,435,506,452,439,454	Interest
288,436,350,435,351,453,288,454	Special
509,455,510,432,568,436,567,459	(sssi),
110,439,121,438,121,450,111,451	in
218,436,261,435,262,453,218,454	Sites
266,453,266,435,287,435,287,453	ofs
495,414,565,413,566,425,495,427	hectares
571,427,573,409,600,412,598,430	(6,
438,428,438,410,491,410,491,428	2,800
383,427,383,410,435,410,435,427	about
284,428,284,411,379,411,379,429	designated
137,429,137,411,243,411,243,429	government
101,429,102,408,134,409,133,430	dthes
61,428,61,408,101,408,101,428	tsaid
244,427,245,408,281,409,280,428	had
50,412,57,411,58,423,51,424	It
46,382,46,367,77,367,77,382	sea
359,366,445,365,446,384,359,385	compared
493,382,493,366,539,366,539,382	2021
450,382,450,365,488,365,488,382	with
271,381,271,364,354,366,353,382	increased
213,384,213,363,268,363,268,384	barelyi
101,384,102,364,172,365,172,384	England
