45,251,46,238,75,240,75,252	sea
245,238,274,237,274,252,246,253	are
197,252,197,236,242,236,242,252	2030
109,238,165,236,166,250,110,252	nature
276,252,277,233,360,235,360,255	evanishing.'
167,256,168,233,196,234,195,257	eby
78,252,78,234,107,234,107,253	for
245,211,330,209,331,226,246,228	prospects
124,212,241,210,242,226,124,228	governments
46,227,46,210,85,210,85,227	rate,
451,210,543,209,543,229,451,230	protecting
548,226,548,210,588,211,588,227	30%
359,226,360,207,447,210,447,229	effectively
89,226,89,209,119,209,119,226	,the
334,226,334,208,355,209,355,227	sof
108,185,177,184,177,199,108,200	nature's
274,200,275,184,323,185,323,201	2030,
558,201,558,183,599,183,599,201	back
361,186,466,185,466,202,362,203	government
489,202,490,184,554,185,554,203	limping
327,200,327,184,357,184,357,200	the
183,199,183,184,244,185,243,200	decline
68,184,103,183,104,200,68,201	halt
245,203,246,182,272,183,271,205	by
44,201,45,182,70,183,68,202	to
469,201,469,183,486,183,486,201	is
412,159,453,158,453,173,412,174	"Our
522,159,566,158,566,173,523,173	show
139,158,220,157,220,173,139,174	executive
225,174,226,157,290,158,290,175	Richard
46,174,46,157,89,157,89,174	WCL
570,157,599,157,600,173,571,174	_tha
458,176,458,156,518,156,518,176	figures
297,159,364,158,365,172,297,173	Benwell
93,157,135,157,135,174,93,174	chief
369,173,369,157,410,158,409,174	said:
47,116,131,113,131,130,48,133	protected
160,129,161,112,193,114,191,132	4%
225,115,276,115,276,129,225,130	most"
193,131,193,112,221,113,221,132	""atr
131,133,134,111,161,115,158,136	dby4
552,90,599,90,599,103,553,103	amou
70,103,70,88,128,89,128,104	Marine
224,102,224,86,277,88,276,105	Areas,
135,102,135,90,219,90,219,102	Protected
517,88,546,87,547,103,517,104	the
391,104,391,87,427,87,427,104	had
315,104,315,87,354,87,354,104	that
355,104,355,87,390,87,390,104	this
281,87,313,87,313,103,281,103	but
430,103,430,84,514,86,514,104	increased
46,87,66,86,67,103,47,104	off
546,77,546,64,592,64,592,77	some
81,64,146,63,147,77,81,78	amount
175,78,175,64,258,64,258,78	protected
423,81,423,61,543,61,543,81	strengthened
46,77,46,62,75,62,75,77	the
385,61,420,61,420,77,385,78	also
264,61,306,61,306,77,264,78	land
328,77,328,61,363,61,363,77	said
150,80,150,60,172,60,172,80	toff
179,53,179,40,216,40,216,53	new
511,55,511,37,565,37,564,56	(SSSI),
218,38,261,38,261,53,219,53	Sites
355,52,355,37,434,38,434,53	Scientific
288,36,351,36,351,52,289,53	Special
129,38,174,37,174,52,129,53	three
48,39,103,38,103,52,48,53	nature
439,37,506,36,506,52,439,53	Interest
569,36,599,35,600,52,570,53	,ado
263,53,265,34,287,36,286,55	ofs
105,36,126,35,127,53,106,55	into
495,13,565,13,566,25,495,26	hectares
569,11,600,10,600,29,570,31	(6,
448,11,490,9,490,27,449,29	2,800
386,11,434,11,434,25,386,26	about
137,13,241,10,242,26,138,29	government
284,27,285,10,380,12,379,29	designated
246,27,246,10,280,11,280,27	had
102,27,102,10,132,10,132,27	the
64,10,99,10,99,26,64,26	said
