52,228,52,209,142,210,142,229	protecting
148,225,148,210,188,211,188,226	30%
290,226,290,209,324,209,324,226	and
246,226,247,208,287,210,286,227	land
213,225,214,208,244,209,244,226	the
0,226,1,207,49,210,47,229	tively
191,209,212,208,212,227,191,227	oft
1,184,66,184,66,198,1,199	rnment
159,184,257,183,257,199,159,200	backwards.
88,202,89,182,155,184,154,204	limping
284,183,317,183,317,199,284,200	this
257,199,258,182,282,183,281,200	At
70,201,70,183,86,183,86,201	is
219,168,219,167,221,167,221,168	I
265,161,302,161,302,173,265,174	race
0,160,52,159,53,173,1,175	.""Our
122,159,166,158,166,173,122,173	show
232,174,232,158,262,158,262,174	the
171,174,171,157,209,158,209,174	that
57,175,58,155,118,156,117,176	figures
212,172,213,157,228,158,227,173	in
246,103,246,90,298,91,297,104	ocean
152,89,218,89,218,103,152,104	amount
0,104,0,88,27,88,27,104	ad
116,104,116,88,147,88,147,104	the
220,87,242,86,243,105,221,105	tof
30,104,30,85,113,85,113,104	increased
0,64,21,64,21,77,0,77	so
146,77,146,64,192,64,192,77	some
198,66,311,64,311,77,198,78	management
24,80,24,62,141,63,141,81	strengthened
110,37,165,37,165,56,110,56	(SSSI),
234,54,234,37,291,37,291,54	022%
40,52,40,38,106,38,106,52	Interest
170,53,170,36,230,38,229,55	adding
1,53,1,35,36,35,36,53	tific
291,36,314,33,316,53,293,55	oto
50,17,50,15,51,15,51,17	the
94,12,166,11,166,26,94,27	hectares
0,12,35,11,35,26,0,26	out
232,28,232,10,283,10,283,28	acres)
44,11,89,9,90,27,45,29	2,800
170,12,226,8,228,25,172,29	(6,918
285,10,305,8,307,27,287,29	to
