71,375,129,375,130,394,71,395	start
230,373,344,372,344,393,230,394	ourselves
133,394,135,369,200,373,199,398	tusing
0,396,1,369,67,372,65,399	inallys
0,363,0,343,42,344,41,363	you
183,363,183,343,215,343,215,363	an
221,361,221,341,314,342,313,362	Einstein
322,363,322,340,348,340,348,363	to
45,340,107,338,107,361,46,363	need
113,364,113,338,142,338,142,364	lto
143,363,143,337,177,337,177,363	be
0,311,24,310,25,329,1,330	es
29,307,81,307,81,329,30,329	that
151,306,244,305,245,331,151,332	delayed
252,329,252,307,293,307,293,329	the
83,306,144,305,144,329,84,330	thave
69,278,102,277,102,298,70,299	an
222,295,222,276,334,276,334,295	interview
109,294,110,276,213,277,213,295	exclusive
341,298,341,273,377,273,377,298	he
36,297,37,273,65,274,64,298	In
0,299,0,272,36,272,36,299	ld.i
129,242,195,242,195,262,129,262	about
22,263,22,242,92,242,91,264	which
202,263,203,241,230,242,229,264	to
97,264,97,241,121,241,121,264	is
0,233,1,211,79,212,79,234	search,
116,233,116,210,141,210,141,233	at
339,232,340,208,381,210,380,233	the
192,210,300,209,300,230,192,231	forefront
145,209,187,208,187,233,146,234	the
95,229,95,212,108,212,108,229	is
307,232,308,206,337,207,336,233	toft
1,138,120,133,122,177,3,182	cade"
0,76,199,76,199,124,0,124	nputing
204,70,303,65,305,113,206,117	jwill
37,50,38,8,133,11,132,52	"The
230,50,232,11,355,19,352,58	bang
140,62,140,7,223,7,223,63	big
20,9,39,8,40,21,21,22	Hr
