108,600,108,595,129,595,129,600	Is
326,571,331,571,331,574,326,574	-
375,578,375,563,411,563,411,578	one
14,564,46,563,46,577,14,577	are
417,564,498,563,498,576,417,578	recorded
253,561,311,560,311,577,253,578	similar
172,563,246,562,246,576,172,577	moment
53,577,53,558,148,561,147,580	witnessing
338,580,338,558,372,558,372,580	the
524,578,524,558,557,558,557,578	the
558,577,560,556,597,559,596,579	40s
366,531,391,530,393,547,367,549	an
177,548,177,530,258,530,258,548	research
74,530,171,530,171,549,74,550	company's
487,530,566,529,566,546,487,546	interview
397,530,480,529,481,546,397,547	exclusive
347,542,354,530,364,535,357,547	in
263,546,264,527,335,529,335,548	division
13,547,14,528,35,529,34,549	of
572,548,575,525,600,528,599,551	wwit
36,548,36,526,69,526,69,548	fthe
162,519,162,498,259,499,259,519	computing,'
71,519,71,498,134,498,134,519	history
274,519,274,497,321,498,321,519	"says
417,515,417,498,477,499,477,516	Senior
324,498,375,497,375,517,324,518	Dario
528,515,529,496,598,499,597,518	Preside
482,497,524,496,525,517,482,517	Vice
379,518,379,497,412,497,412,518	Gil
35,497,66,495,67,515,37,517	the
15,512,17,499,28,501,27,514	in
138,516,140,496,158,498,157,517	of
553,479,555,477,558,479,556,482	I
554,478,554,475,557,475,557,478	I
319,486,319,468,408,468,408,486	computer
47,485,48,468,91,468,91,485	race
233,486,233,467,314,468,314,486	quantum
119,484,120,467,191,468,190,485	develop
549,468,565,467,566,483,550,484	in
460,483,460,465,491,466,491,484	are
12,484,13,465,46,467,45,485	the
570,465,599,464,599,483,571,484	the
494,486,495,463,544,464,544,487	living
412,485,413,463,456,464,455,486	_"We
196,485,196,463,229,463,229,485	the
13,454,13,438,50,438,50,454	one
390,457,390,435,483,435,483,457	potentially
163,456,164,433,242,435,241,458	grueling,
489,454,489,437,578,437,578,454	promising
249,437,343,435,343,454,249,455	expensive
113,453,113,435,159,435,159,453	most
348,453,349,433,385,434,384,454	and
56,435,73,435,73,452,56,452	of
79,454,79,433,109,433,109,454	the
515,416,518,413,521,416,518,419	LC
510,418,514,409,526,415,522,423	to
318,425,319,403,389,405,388,427	century
201,407,250,407,250,422,202,423	more
118,407,196,407,196,421,118,422	dinosaur
14,425,14,404,111,404,111,425	computing
534,421,534,405,598,407,597,423	reinven
255,422,256,404,296,405,295,423	than
452,425,453,403,505,404,505,426	trying
437,417,437,407,444,407,444,417	is
391,425,391,401,426,401,426,425	yold
565,392,565,374,599,375,599,393	sha
504,391,505,372,562,374,561,393	taking
390,388,390,375,476,375,476,388	revolution
302,375,382,374,382,389,302,390	historical
140,390,140,373,190,374,189,391	these
79,391,79,374,135,375,134,392	within
196,391,196,372,274,373,274,392	"boilers",
13,373,72,372,73,392,13,393	There
268,340,268,321,316,321,316,340	solar
67,321,111,321,112,338,67,339	what
13,343,13,319,63,319,63,343	hang
320,322,384,320,384,337,321,339	boilers
114,339,115,320,156,321,156,340	look
214,338,214,319,264,320,264,339	white
159,339,159,319,208,319,208,339	like
458,309,458,292,506,292,506,309	rows
401,308,401,291,454,291,454,308	show
14,311,14,290,72,290,72,311	tangle
172,291,278,289,278,308,173,310	background
534,307,534,288,586,289,585,308	metal
349,309,349,289,396,290,396,310	main
94,311,94,288,134,288,134,311	just
283,309,284,287,313,288,312,310	York
135,308,135,289,166,289,166,308	the
313,308,313,287,346,287,346,308	the
77,308,77,289,93,289,93,308	is
510,288,531,288,531,308,510,308	soft
497,261,550,260,550,278,497,279	vents.
161,260,210,258,211,276,161,278	down
382,262,449,260,449,278,382,279	pierced
329,278,330,258,375,259,374,278	floor
454,278,454,258,493,258,493,278	with
