7,596,41,594,42,599,7,600	STAR
279,594,283,594,283,597,279,597	_
43,600,43,591,83,591,83,600	Lines:
88,595,91,592,94,595,91,598	11
16,562,97,561,97,577,16,578	recorded
217,578,218,559,254,560,254,579	50s
160,576,160,559,194,560,194,578	40s
314,558,352,558,352,578,315,579	last
125,577,125,559,156,559,156,577	the
280,578,280,557,313,557,313,578	fthell
258,578,258,559,278,559,278,578	SOF
219,531,299,530,299,544,219,545	Calcalist.
88,546,88,531,167,532,167,546	interview
1,531,81,530,81,546,1,546	exclusive
175,547,175,528,213,529,213,547	with
307,546,307,526,348,528,347,548	"WWE
17,517,17,497,79,497,79,517	Senior
245,498,284,497,284,516,246,516	IBM
329,515,329,497,376,498,376,516	head
288,515,288,497,324,497,324,515	and
225,514,226,498,242,499,241,515	of
129,516,129,497,217,497,217,516	President
82,496,124,495,124,516,82,516	Vice
155,478,155,475,158,475,158,478	I
152,476,155,474,156,477,154,479	I
333,485,333,469,364,469,364,485	era
258,483,259,466,328,469,327,486	exciting
206,466,252,466,253,483,206,484	most
61,484,61,466,91,466,91,484	are
95,486,95,464,144,465,144,487	living
0,484,0,465,53,465,53,484	L"We
150,482,150,467,162,467,162,482	in
169,463,202,463,202,485,169,485	the
328,453,328,438,374,439,374,453	ever
270,452,270,438,321,438,320,452	races
90,454,90,436,179,436,179,455	promising
185,437,264,436,264,452,185,452	scientific
2,453,3,435,83,437,82,455	otentially
289,422,290,403,360,406,360,425	winning
133,404,205,403,206,420,134,421	reinvent
52,424,53,403,105,403,105,424	trying
260,427,260,402,286,402,286,427	fby
213,421,213,403,256,403,256,421	itself
0,422,0,402,27,403,26,423	old
32,418,32,405,45,405,45,418	is
166,392,166,373,226,374,226,394	shape.
104,392,105,372,162,375,161,395	taking
1,389,1,373,77,374,77,390	evolution
233,392,233,372,276,372,276,392	IBM
59,308,59,292,105,292,105,308	rows
191,292,269,291,269,308,191,309	supports
273,310,273,290,303,290,303,310	son
1,291,55,290,55,306,2,307	show:
305,307,306,289,359,291,358,310	which
133,308,134,288,188,289,187,308	fmetal
109,308,109,288,132,289,131,309	off
98,261,150,259,151,278,98,280	vents.
0,259,50,259,50,276,1,277	erced
205,275,205,259,325,260,325,276	technological
56,276,56,258,93,259,92,277	with
156,257,200,256,201,277,157,278	This
0,229,53,228,53,246,0,247	ooms
260,245,261,226,338,228,337,247	dangling
193,227,254,226,255,245,193,246	cables
101,228,187,226,188,245,101,246	countless
58,245,58,226,95,226,95,245	with
25,198,106,198,106,215,25,216	quantum
112,215,112,197,205,197,205,215	computing
245,214,245,195,296,195,296,214	looks
210,215,210,195,243,195,243,215	lab
0,197,18,196,19,213,1,214	its
336,195,369,194,369,213,337,214	the
299,213,299,194,333,194,333,213	like
2,158,3,134,86,137,85,161	mputing
55,37,113,36,113,56,55,56	start
215,35,328,34,328,55,215,56	ourselves
117,57,119,30,185,35,183,62	tusingi
0,60,0,30,53,32,51,62	allys
0,24,0,5,26,5,26,24	out
166,24,166,4,198,5,198,25	an
206,4,298,3,298,21,206,23	Einstein
305,24,305,3,332,3,332,24	to
30,23,30,1,91,2,90,24	need
98,25,98,1,125,1,125,25	to
129,24,129,0,161,0,161,24	be
