323,362,323,345,374,345,374,362	other
39,347,102,344,103,363,39,366	planks
0,363,0,345,36,345,36,364	den
452,351,452,348,457,348,457,351	-
380,363,380,344,419,344,419,363	side
284,344,319,343,320,363,285,363	the
423,363,424,344,446,344,445,364	of
194,345,251,344,251,361,194,362	found
106,344,161,343,161,362,107,363	could
254,365,254,343,283,343,283,365	don
163,344,190,341,192,363,165,365	dbef
411,331,411,318,462,319,462,332	warm
15,316,54,315,54,337,15,337	lpen
86,337,86,314,151,315,151,337	ryoung
357,332,357,315,405,315,405,332	more
280,330,280,314,349,314,349,331	needed
157,316,228,316,228,330,157,330	animals
232,332,233,313,276,314,275,333	that
55,312,87,311,88,334,56,335	fory
166,286,242,284,242,300,167,301	rodents.
2,286,88,285,88,299,2,300	protected
400,300,400,283,451,284,451,301	there
249,301,249,282,297,282,297,301	Next
325,282,359,281,359,301,325,301	the
362,301,362,281,396,281,396,301	fire
113,301,113,281,160,281,160,301	from
297,281,324,280,325,302,298,303	tto
24,269,24,254,45,254,45,269	as
329,270,329,252,377,252,377,270	were
154,268,154,252,229,254,228,269	cheeses
50,267,50,251,144,253,144,268	chestnuts,
430,269,430,251,463,251,463,269	abo
277,251,325,249,326,267,277,269	meat
0,258,8,252,12,257,3,262	-In
379,272,379,249,427,249,426,273	ekept
235,268,235,249,272,250,272,269	and
255,220,349,220,349,242,255,242	preparing
68,242,68,220,120,220,120,242	carry
409,222,462,219,463,236,409,238	weavi
0,221,25,220,26,239,0,240	eat
124,237,124,221,158,221,158,237	out
161,220,211,219,212,239,161,240	tasks
352,239,352,218,405,219,404,241	good
216,218,251,217,252,239,217,240	like
28,238,29,217,68,218,67,239	and
369,193,407,192,407,207,370,208	was
412,207,412,191,461,191,461,207	where
163,191,224,190,224,205,164,206	centre
291,208,292,189,366,191,366,211	astrago
4,211,4,188,101,189,100,212	(fireplace)i
126,207,126,188,159,188,159,207	the
255,206,255,188,289,189,288,207	the
228,208,228,187,253,187,253,208	oft
207,158,207,137,327,138,327,159	Inostalgically.
59,156,60,135,124,136,124,157	ahorse,"
5,155,5,135,44,136,44,157	and
163,135,202,134,202,154,163,154	said
127,136,158,134,159,155,129,157	"he
141,107,216,106,216,123,142,123	warmed
0,126,0,106,47,106,47,126	oden
290,123,290,106,362,106,362,123	animals
51,107,134,105,135,123,52,125	platform
368,105,425,104,425,123,368,123	below
250,105,285,104,285,124,251,125	the
222,129,222,104,249,104,249,129	dbyt
0,79,22,78,22,93,0,94	he
27,93,28,75,131,77,131,94	estravariza,
402,76,459,75,459,91,403,93	above
348,94,348,74,397,74,397,94	slept
177,75,241,74,242,92,178,93	animal
312,94,312,74,344,74,344,94	He
245,74,308,73,308,92,246,93	stable
136,73,172,72,173,93,137,94	"the
0,63,0,45,35,47,34,64	ozal
322,46,371,45,371,61,322,62	areas
188,63,188,43,316,45,315,64	distinguished
118,64,118,43,182,44,182,65	clearly
73,62,73,43,115,43,115,62	two
376,44,437,43,437,62,376,62	inside
34,63,34,42,71,42,71,63	has
441,62,443,42,464,43,462,64	:th
266,12,381,11,381,33,266,34	generations
139,29,139,13,214,13,214,29	warmed
92,29,93,12,135,13,134,30	that
6,12,87,10,88,32,6,33	fireplace
220,12,261,11,262,30,220,30	four
442,30,442,10,463,10,463,30	fa
385,30,385,10,409,10,409,30	soft
410,30,410,9,439,9,439,30	fhis
