274,568,275,549,325,550,324,570	deep
81,550,158,548,158,566,81,568	particles.
207,572,208,546,245,548,244,573	dyet,i
2,550,52,549,52,565,2,566	world
166,567,166,547,205,547,205,567	And
54,566,56,547,79,548,77,568	Yof
248,568,248,547,273,547,273,568	its
224,529,224,526,226,526,226,529	I
223,529,223,526,225,526,225,529	-
271,536,271,519,345,519,345,536	effective
49,536,49,519,99,519,99,536	more,
363,522,366,522,366,527,363,527	coin
148,538,148,518,211,519,211,538	proved
108,536,108,517,145,517,144,537	and
8,517,44,517,44,535,9,535	and
218,535,218,519,236,519,236,535	to
238,515,265,514,266,536,238,537	be
222,489,299,488,299,504,223,505	decades
80,490,153,487,154,506,80,509	packets.
3,505,3,488,74,488,74,505	discrete
305,487,343,486,343,505,305,506	that
186,486,218,485,218,505,186,506	the
166,496,166,488,179,488,179,496	in
234,475,234,457,272,458,272,476	can
32,474,33,455,96,458,96,476	energy
162,458,229,455,230,472,163,475	particle
274,477,274,453,315,454,315,478	only
105,470,105,457,118,457,118,470	of
0,455,28,454,28,473,0,474	the
125,474,125,454,158,454,158,474	this
317,454,344,453,344,473,317,474	be
350,442,350,427,372,428,371,443	as
306,427,344,426,344,441,306,441	saw
231,425,300,423,301,443,232,445	physics
185,442,186,423,227,424,227,443	then
140,424,180,424,180,442,140,442	until
0,425,28,424,29,442,1,444	hat
80,442,80,423,135,423,135,442	which
31,422,76,422,76,445,31,445	light,
359,411,359,396,380,396,380,411	as
307,410,308,394,351,395,351,410	such
58,394,149,393,149,410,59,411	happened
213,395,300,392,301,409,214,412	physicists
156,393,206,393,206,411,156,411	when
13,411,13,391,54,391,54,411	This
271,381,272,362,340,365,340,383	century
225,381,225,361,265,362,265,381	20th
71,380,72,362,160,364,159,382	beginning
346,361,383,360,383,380,346,381	this
189,380,189,361,220,361,220,380	the
169,379,169,362,186,363,186,380	of
35,361,66,361,67,380,35,380	the
12,379,12,361,32,361,32,379	at
0,349,0,334,25,335,24,349	an
228,332,289,331,289,350,229,351	planet
29,348,29,332,74,332,74,348	atom
295,331,334,330,335,349,296,349	with
80,349,80,331,116,331,116,349	that
120,349,120,330,169,330,169,349	looks
173,350,173,329,208,329,208,350	like
107,303,184,301,184,318,107,319	particles
5,301,48,300,49,322,6,322	very
236,318,236,300,311,300,311,318	explains.
51,300,101,299,102,318,51,319	small
200,319,200,299,231,299,231,319	Gil
319,318,319,298,352,298,352,318	."At
96,285,96,273,153,273,153,285	sense.
11,285,11,271,88,271,88,285	common
324,269,384,268,385,285,324,286	makes
260,285,261,266,320,269,319,288	theory
163,269,253,268,254,285,163,286	"Quantum
247,257,247,237,328,238,328,258	quantum
17,257,17,238,76,238,76,258	theory
122,238,204,238,205,253,122,253	underlies
80,255,80,237,117,237,117,255	that
210,256,210,236,242,236,242,256	the
235,174,235,157,274,157,274,174	one,
281,173,281,156,326,156,326,173	zero
0,172,0,156,16,156,16,172	e
95,171,95,154,230,156,230,173	simultaneously
20,153,68,153,69,174,20,174	qubit
329,173,329,152,366,152,366,173	and
72,171,72,153,87,153,87,171	is
86,140,88,125,115,128,113,144	son
254,139,254,124,354,124,354,139	information
188,123,222,123,222,139,188,140	unit
32,141,32,122,82,122,82,141	relies
135,123,184,122,184,140,135,140	basic
0,122,27,121,28,143,0,144	ing
226,140,227,121,248,122,247,141	of
293,103,293,101,295,101,295,103	I
3,94,102,93,102,108,3,109	recognition
191,108,191,94,281,95,281,108	dichotomy
110,109,110,91,146,91,146,109	that
308,91,342,90,343,111,309,111	not
150,110,150,90,184,90,184,110	this
289,108,289,93,303,93,303,108	is
6,61,57,60,57,76,6,77	about
142,77,142,58,214,59,213,78	binaries.
100,78,100,59,137,59,137,78	and
263,82,263,57,301,57,301,82	key
303,79,303,59,326,59,326,79	to
223,58,262,57,263,78,223,79	The
61,58,96,57,96,77,61,78	bits
118,41,118,39,120,39,120,41	I
118,40,118,37,120,37,120,40	a
0,48,0,31,22,31,22,48	he
154,49,154,28,196,28,196,49	stop
65,49,66,28,107,28,106,50	step
299,47,299,29,330,29,330,47	the
200,46,200,28,271,30,271,48	thinking
132,45,132,30,148,30,148,45	to
111,31,125,30,126,45,112,45	is
26,46,26,27,63,27,62,47	first
135,17,135,1,212,2,212,17	concept,
2,16,2,0,89,1,89,17	computer,
225,17,225,2,308,2,308,18	"quantum
97,16,97,0,131,0,131,17	this
