168,374,168,358,232,359,232,375	certain,
0,375,0,356,43,356,43,375	ords,
50,377,50,356,106,357,106,377	reality
130,356,165,355,165,375,131,376	not
240,375,240,355,273,355,273,375	but
111,357,128,356,130,374,113,376	is
219,342,219,328,315,328,315,342	distribution
17,344,18,325,57,327,56,346	one
160,344,160,326,194,326,194,344	has
65,343,66,325,135,326,135,344	Instead
322,345,322,325,344,325,344,345	of
265,314,265,295,295,295,295,314	we
298,296,345,295,346,312,298,313	don't
189,313,189,295,222,295,222,313	not
225,296,261,294,262,312,226,314	that
9,313,9,296,141,296,141,313	I"superposition"
158,313,158,294,186,294,186,313	It's
0,282,0,267,41,267,41,282	veen
146,266,206,266,206,279,146,280	moves
84,264,139,262,140,280,84,283	points
214,276,215,262,348,266,347,279	simultaneously
44,281,44,261,81,262,80,282	two
355,263,372,262,373,280,356,281	in
36,243,36,241,38,241,38,243	I
172,252,172,234,210,234,210,252	one
75,234,122,234,122,249,75,249	more
127,250,127,233,170,234,169,251	than
212,233,267,230,268,250,213,253	place
0,232,26,232,26,249,0,250	cle
272,249,272,229,367,232,367,252	According
49,250,49,232,70,232,70,250	in
31,233,45,233,46,248,32,249	is
275,166,276,148,324,151,323,168	deep
81,151,158,149,158,166,81,168	particles.
208,172,208,148,244,148,244,172	yet,
2,166,2,149,52,149,52,166	world
165,148,206,147,206,166,165,167	And
56,167,57,147,78,148,77,168	lof
247,147,273,146,273,168,247,169	its
359,128,359,126,361,126,361,128	I
225,128,225,126,227,126,227,128	I
271,134,271,119,345,119,345,134	effective
49,136,49,118,98,119,98,137	Imore,
355,133,355,120,368,121,367,134	in
147,119,212,116,213,136,148,138	proved
107,136,108,116,145,118,144,137	and
8,136,8,117,44,117,44,136	and
219,134,219,119,235,119,235,134	to
239,117,264,117,264,135,239,136	be
175,101,175,97,179,97,179,101	I
175,95,175,93,178,93,178,95	-
81,89,154,89,154,107,81,108	packets.
222,88,299,87,299,102,222,103	decades
4,87,73,87,74,104,4,104	discrete
305,104,305,87,342,87,342,105	that
186,106,186,86,218,86,218,106	the
167,98,167,89,179,89,179,98	In
235,58,272,57,272,75,235,76	can
32,75,33,56,96,58,96,77	energy
162,58,229,54,230,72,163,76	particle
105,60,114,59,114,68,106,68	0
274,77,274,54,315,54,315,77	only
0,55,28,53,29,73,0,74	the
125,73,125,54,158,54,158,73	this
316,54,343,52,345,72,318,74	your
350,28,372,28,372,42,350,42	as
306,41,307,27,345,28,344,41	saw
232,26,300,24,300,42,232,44	physics
185,43,186,24,227,25,227,43	then
140,25,179,23,180,41,141,42	until
81,24,134,24,134,41,81,41	which
31,44,31,22,75,22,75,44	light,
0,25,28,24,29,42,0,43	hat
212,14,212,1,302,2,302,15	pnysicists
157,10,158,0,207,1,207,12	wnen
57,12,57,0,152,2,152,14	nappened
307,10,307,0,353,0,353,10	sucn
15,10,15,0,54,0,54,11	TNIS
356,11,356,0,380,0,380,11	as
