518,124,518,123,519,123,519,124	the
418,131,418,115,468,116,468,133	every
475,132,475,114,524,114,524,132	large
529,130,529,114,597,114,597,130	industr
139,115,285,112,286,134,140,138	COMPUTINGWILL
288,129,288,111,413,112,412,131	revolutionize
34,116,136,112,137,129,35,133	"Quantum
107,85,148,85,148,101,108,102	deal
35,84,101,83,101,101,35,102	million
506,57,598,55,598,74,506,76	computin
258,55,344,55,344,72,258,72	establish
349,56,406,54,406,70,349,72	Israeli
415,56,502,52,503,71,416,76	quantum
37,57,129,53,129,70,37,74	Quantum
230,55,253,54,254,73,232,74	stop
135,70,135,56,225,56,225,70	Machines
567,35,567,34,568,34,568,35	I
564,34,565,33,566,34,565,35	I
562,34,562,33,564,33,564,34	Webber's
88,34,88,33,89,33,89,34	I
336,27,390,26,390,42,336,43	starts
396,41,396,27,411,27,411,41	it
100,43,100,26,132,26,132,43	the
36,42,36,25,94,26,94,43	"Once
450,26,476,26,477,43,451,44	be
412,25,447,25,447,43,412,43	will
481,25,599,25,599,44,481,44	exponential'
138,25,228,23,228,44,138,46	quantum
231,41,232,22,330,23,329,43	revolution
98,12,98,0,181,0,181,12	articles:
12,13,12,0,93,1,93,13	Related
