67,263,67,255,80,255,79,263	it,
290,249,317,249,317,265,290,265	no
517,263,517,248,549,249,549,264	eve
322,250,417,249,417,262,322,263	movement
6,264,6,247,59,247,59,264	reach
86,263,87,248,166,249,165,264	because
171,264,171,247,212,247,212,264	then
218,247,264,246,265,263,218,264	there
478,245,513,244,513,264,478,264	Not
446,246,474,245,475,266,446,267	all,
421,245,443,244,444,265,421,266	tat
269,263,271,245,288,247,286,265	is
154,219,196,218,196,232,154,233	zero.
461,233,461,215,510,215,510,233	close
247,217,359,214,359,230,247,232	temperature
206,216,242,215,242,232,206,233	The
71,232,72,216,147,217,147,232	absolute
366,215,427,215,427,231,366,232	should
430,215,456,214,457,232,431,233	be
9,217,63,216,64,231,9,232	above
513,215,534,213,535,232,514,233	to
525,202,525,188,549,188,549,202	an
460,203,460,187,518,188,517,203	space,
62,201,62,185,135,186,134,202	degrees
184,186,224,185,225,202,185,202	than
7,201,7,184,56,185,55,202	three
406,201,406,185,454,186,453,202	outer
264,186,377,184,377,201,265,203	temperature
230,202,230,184,260,184,260,202	the
139,185,178,183,179,202,140,204	less
381,202,382,183,403,183,402,203	of
234,157,280,156,281,171,234,172	case
6,157,54,156,54,171,6,172	zero:
117,155,179,154,179,169,117,169	bottom
319,171,320,153,433,155,432,173	temperature
286,154,315,154,315,170,286,170	the
82,171,82,153,112,153,112,171	the
459,155,514,153,514,170,460,172	minus
517,152,549,151,549,171,518,173	27
208,171,209,152,231,153,231,172	its
58,153,78,152,79,171,59,173	"at
437,171,437,152,456,152,456,171	is
185,152,206,151,206,171,185,172	ofi
40,139,40,125,76,125,76,139	use
484,141,484,123,548,124,547,142	compu
105,122,260,121,260,139,105,140	superconductors.
6,138,7,121,38,122,37,140	the
450,138,451,121,480,122,480,139	the
310,122,422,121,423,138,311,140	temperature
269,139,269,121,306,121,306,139	The
429,136,431,121,446,122,445,138	in
79,139,80,120,102,121,101,140	of
506,94,548,94,548,108,506,108	mea
410,92,498,92,498,109,410,109	approach,
313,92,403,91,403,109,313,110	cryogenic
235,108,235,91,291,91,291,108	chose
93,109,93,90,186,90,186,109	computer
8,93,88,89,88,107,8,111	quantum
191,90,230,90,231,108,191,108	IBM
479,78,479,62,549,62,549,78	approad
287,61,319,61,319,77,287,77	are
323,62,390,61,390,76,323,77	several
148,76,148,59,212,59,212,76	entails:
8,61,51,60,51,76,8,76	what
96,60,143,59,143,76,96,77	effort
397,76,398,60,470,60,470,77	different
220,77,220,59,281,59,281,78	"There
56,76,57,58,90,59,89,77	this
448,32,515,30,516,45,448,47	answer,
217,45,217,30,262,30,262,45	them
48,45,48,27,115,29,114,47	already
396,29,442,29,442,46,396,46	clear
7,46,7,29,42,29,42,46	has
314,28,372,27,372,44,314,45	avoids
119,28,158,26,159,44,120,46	built
521,46,521,27,548,27,548,46	,bu
162,45,163,27,189,28,189,46	40
280,46,280,27,309,27,309,46	Gil
192,27,212,26,213,46,193,47	oft
452,17,452,0,533,0,533,17	quantum
8,1,61,1,61,15,8,15	When
289,14,289,1,328,1,328,14	cost
205,1,250,1,250,14,205,15	what
169,1,200,0,200,14,170,15	out
355,16,355,0,428,1,428,17	building
131,0,167,0,167,14,131,14	find
76,18,77,0,103,0,103,19	ltry
332,0,353,0,353,15,332,15	of
254,14,254,0,284,0,284,14	the
105,0,126,0,128,14,107,17	/to
