92,519,92,503,130,504,130,520	use,
25,519,25,502,51,502,51,519	on
391,502,500,501,500,521,391,521	publications
306,519,306,500,385,500,385,519	scientific
139,501,191,500,192,518,139,518	about
215,501,297,501,297,518,215,518	thousand
0,500,21,500,21,518,0,518	ed
54,519,54,498,90,498,90,519	this
150,488,150,472,185,472,185,488	use
417,473,495,472,495,487,417,488	quantum
250,472,349,470,349,487,250,488	capabilities
93,488,93,471,146,471,146,488	made
20,488,21,470,88,472,87,490	already
360,471,374,471,374,487,360,487	of
379,489,379,468,410,468,410,489	the
212,488,212,468,245,468,245,488	the
190,489,190,469,210,469,210,489	off
75,457,75,441,105,441,105,457	are
255,441,315,440,315,457,256,458	public.
437,456,437,440,496,440,496,456	million
110,456,111,440,191,440,191,457	available
0,460,0,438,40,439,40,461	day
318,438,375,437,375,456,318,456	About
378,457,378,438,417,438,417,457	thalf
219,438,250,437,251,457,220,458	the
197,456,197,439,215,439,215,456	to
44,439,68,438,69,457,45,458	20
304,417,304,414,307,414,307,417	the
207,412,283,411,283,424,207,425	answers.
388,423,388,409,482,410,482,425	computers
299,418,301,411,310,414,308,421	Of
133,408,199,407,200,424,133,425	receive
32,406,87,406,87,424,32,425	\'brain'
91,406,129,405,130,425,91,426	'and
355,425,355,406,381,406,381,425	40
0,407,28,404,29,424,0,427	the'
320,426,320,405,352,405,352,426	the
422,387,422,384,425,384,425,387	I
475,395,475,378,505,378,505,395	we
231,378,316,376,316,394,231,396	computer
131,395,132,374,190,376,189,397	today
54,394,54,375,127,376,127,394	enables
434,394,435,375,471,375,471,395	and
399,376,430,374,432,397,401,399	us,
359,393,359,375,397,376,397,394	with
0,374,50,374,50,397,1,398	ready
193,375,226,374,227,394,194,395	the
322,393,322,374,356,374,355,394	sits
155,350,217,348,217,361,155,362	access
119,348,149,348,149,364,119,364	we
94,363,94,348,115,348,115,363	as
4,363,5,344,85,347,85,365	remotely
359,364,359,344,413,345,413,365	today.
279,346,353,345,354,362,280,363	services
438,363,438,344,471,344,471,363	will
222,344,274,343,274,362,223,363	cloud
273,332,273,315,365,316,365,332	computing
187,333,187,316,267,316,267,333	quantum
74,314,139,313,139,332,74,332	believe
144,332,144,314,182,314,182,332	that
1,313,46,312,46,332,1,332	lains.
372,314,404,312,405,332,373,333	will
408,332,408,312,432,312,432,332	lbe
344,303,344,284,411,284,411,303	change
0,284,39,283,39,303,0,304	nple
45,300,45,284,117,284,117,300	terminal
124,301,124,282,184,282,184,301	device
437,282,470,281,470,301,438,302	the
309,300,309,282,339,282,339,300	Inot
273,282,305,282,305,301,273,301	will
194,281,231,281,231,301,194,302	and
235,281,269,280,269,301,235,302	this
120,269,120,252,206,253,206,270	computer
33,253,113,253,113,270,34,271	quantum
362,252,452,251,452,268,362,269	conditions
291,269,292,250,355,251,355,270	unique
212,251,286,251,286,269,212,270	requires
459,269,459,249,498,251,497,270	that
0,270,0,250,27,250,27,270	he
97,233,99,229,104,230,103,234	in
220,239,221,222,301,223,301,240	quantum
145,223,191,222,191,239,145,239	case
413,221,443,221,444,239,414,240	we
306,239,306,220,405,220,405,239	computers
0,239,0,220,47,222,46,242	hone,
446,220,512,219,512,238,446,239	cannot
94,228,94,223,103,223,103,228	Bill
197,237,198,220,215,221,214,238	of
110,239,110,218,142,218,142,239	the
53,238,53,218,85,218,85,238	,but
73,208,73,190,151,192,151,210	squeeze
364,209,364,188,460,190,460,210	computing
310,208,311,190,360,191,359,209	more
157,207,157,189,226,189,226,207	millions
38,191,68,189,70,208,40,210	we
0,210,1,188,36,190,36,211	day
255,207,256,188,306,189,306,208	times
232,190,249,189,250,205,233,206	of
440,181,440,158,506,158,506,181	getting
0,174,0,161,13,161,13,174	Ke
295,160,388,159,389,174,295,175	computers
224,176,224,157,289,158,289,176	classic
73,176,73,157,151,159,151,177	cabinets.
19,178,19,156,68,157,67,179	huge
395,177,395,157,438,157,438,177	kept
160,176,160,157,219,157,219,176	Those
355,144,355,128,418,128,418,144	classic
218,129,323,128,323,143,218,144	generations
7,128,113,127,113,144,7,145	reminiscent
176,145,176,125,214,126,213,146	first
141,125,172,124,173,145,141,146	fthe
119,146,119,126,139,126,139,146	of
329,143,331,125,352,128,349,145	soft
193,97,266,97,266,114,193,115	reaches
68,98,114,97,115,115,68,116	case
376,113,376,97,443,97,443,113	several
289,96,347,95,348,115,289,116	height
119,115,119,96,186,97,186,116	already
351,114,351,95,372,95,372,114	of
33,114,33,95,64,95,64,114	the
0,93,27,92,28,115,0,117	its,
189,67,254,66,254,80,190,81	newest
2,65,124,65,124,80,2,80	cumbersome
261,81,261,64,329,65,329,82	models,
338,82,338,63,392,63,392,82	which
396,85,397,62,423,63,422,86	try
153,82,153,63,184,63,184,82	the
426,82,426,63,445,63,445,82	to
387,35,439,35,439,50,387,51	mean
20,35,109,34,109,51,20,52	protection
117,36,235,33,236,48,117,51	requirements
444,51,444,33,481,34,481,51	that
316,51,316,32,359,33,359,52	from
244,34,310,32,311,49,244,50	derived
484,32,515,31,516,50,484,50	the
