0,513,0,500,32,500,32,513	cus
35,499,64,498,65,515,35,515	son
140,500,252,498,252,512,140,514	components
68,497,133,496,133,513,68,514	various
320,497,370,496,370,512,320,513	world
373,518,375,493,406,495,405,520	(for
258,513,258,496,278,496,278,513	soft
282,495,316,493,317,514,282,515	this
377,475,377,473,379,473,379,475	I
0,487,0,467,51,468,50,489	many
391,479,392,470,400,471,399,480	e
56,484,56,466,128,466,128,484	startups
315,483,315,465,360,466,359,483	work
240,483,240,466,309,467,309,485	actually
202,466,235,465,235,483,202,483	not
132,464,171,463,171,483,133,484	that
364,482,364,465,383,465,383,482	to
174,483,174,465,200,465,200,483	do
124,416,172,416,172,430,124,431	more
176,416,211,416,211,430,176,431	use
240,432,241,414,319,415,319,433	quantum
0,431,1,413,52,414,51,433	ready
326,433,326,414,404,414,404,433	computing
56,430,57,413,118,414,118,431	seeing
215,431,215,412,237,412,236,432	of
125,398,125,383,185,384,185,399	written
334,400,334,382,403,384,403,403	languag
250,382,327,381,327,398,250,399	classical
60,399,60,381,92,381,92,399	will
20,400,20,381,56,381,56,400	that
0,399,0,383,16,383,16,399	sk
213,382,244,381,245,399,214,400	the
94,381,120,378,122,399,96,401	lbe
33,356,145,354,145,367,34,368	programmer
337,371,337,352,403,352,403,371	possibl
207,368,207,351,253,351,253,369	field
0,351,28,349,29,369,0,370	Ced
272,367,272,350,304,351,304,368	will
173,351,204,350,204,369,173,370	the
307,350,333,349,334,369,308,370	lbe
106,321,173,320,173,340,106,341	anyone
54,337,54,321,100,322,100,337	allow
331,337,331,320,370,321,369,337	with
204,322,325,320,326,336,204,338	communicate
15,321,48,320,48,337,16,338	will
374,320,404,319,405,338,374,338	the
178,321,199,320,200,337,180,338	to
0,290,24,290,24,310,0,310	ng
193,290,337,290,337,304,193,304	democratization
344,290,402,288,403,308,344,309	phase
86,307,86,288,130,288,130,307	days
29,288,81,287,81,306,30,307	these
155,288,186,286,187,305,156,307	the
144,258,144,237,176,237,176,258	my
65,252,65,237,140,238,140,253	advance
180,236,224,235,224,253,180,254	field'
0,256,1,235,35,236,34,257	ting
37,237,58,235,60,253,39,255	to
128,207,175,206,175,222,128,222	more
237,206,300,204,301,226,238,228	people
180,206,234,206,234,223,180,224	smart
34,206,82,205,82,222,34,223	more
329,223,329,205,370,205,370,223	start
87,223,87,205,123,205,123,223	and
0,204,29,204,30,223,0,223	ed
373,206,393,202,397,221,377,225	to
306,223,306,203,325,203,325,223	to
89,191,90,174,190,177,190,194	community
324,176,400,174,400,189,325,190	education
279,193,280,173,319,175,318,194	why
198,175,252,173,253,190,199,192	which
42,173,67,172,68,196,43,197	by
8,173,40,172,41,192,9,193	led
257,175,273,173,274,190,259,191	is
67,145,118,145,118,160,67,161	users
192,145,238,144,238,160,193,161	what
243,159,243,144,303,144,303,159	talents
308,161,308,142,340,142,340,161	will
122,161,122,142,155,142,155,161	will
0,165,0,141,40,143,39,167	unity
378,161,379,142,406,143,406,161	the
343,142,376,141,376,164,343,165	get
42,161,43,141,65,143,64,162	of
157,162,157,140,187,141,186,163	be
2,133,2,113,57,113,57,133	puting
227,129,227,113,278,114,278,130	uses
326,133,326,112,372,113,372,134	easy
99,113,166,112,167,130,99,132	depend
62,113,93,112,94,129,62,130	will
282,111,323,110,324,130,282,131	how
170,112,197,111,197,131,171,131	on
198,110,224,108,225,130,199,131	its
53,90,53,88,55,88,55,90	-
69,84,104,83,105,99,69,100	use
262,100,262,80,325,81,325,101	laughs.
365,81,395,81,395,98,365,99	the
138,99,138,79,210,80,209,100	Nobody
228,80,259,80,259,99,228,100	Gill
48,97,48,82,65,82,65,97	to
330,100,330,80,361,80,361,100	--"In
1,101,2,78,44,79,43,102	joing
109,100,109,78,134,79,133,100	it?
214,81,226,80,226,90,214,91	111
193,67,193,52,239,52,239,67	even
70,68,70,51,117,52,116,69	wars
331,66,331,51,389,51,389,67	routes
245,50,324,49,324,66,245,67	calculate
124,51,187,49,188,66,125,68	maybe
0,67,1,48,42,50,41,69	ines
52,55,52,53,54,53,54,55	the
50,52,61,49,65,62,53,65	in
303,22,341,21,342,36,304,37	can
265,39,265,21,302,21,302,39	you
345,21,378,20,378,35,345,36	use
12,19,108,18,108,36,12,36	computers
207,40,207,19,260,19,260,40	great,
161,36,163,14,201,19,199,40	NOh,
113,35,114,16,157,18,156,38	said
364,1,404,0,404,3,364,5	11:1
327,4,327,0,355,0,355,5	may
285,5,285,0,323,0,323,5	tied
22,7,22,0,110,1,110,9	consecution
1,5,1,0,24,0,24,6	the
