396,465,498,465,498,482,396,483	supernova
158,485,158,463,201,464,201,486	Ivery
2,484,2,464,72,464,72,484	speeds,
503,462,597,462,597,484,503,484	explosion
355,482,356,461,391,463,390,483	the
249,480,249,460,291,462,291,482	And
204,482,204,462,243,462,243,482	fast.
80,462,116,461,116,481,80,482	but
336,480,336,463,350,463,350,480	is
295,482,295,461,331,461,331,482	this
118,482,118,461,155,461,155,482	still
2,435,55,434,55,452,2,454	some
416,434,519,432,519,453,417,455	essentially
316,450,316,432,407,434,407,451	outwards,
218,435,308,433,308,450,218,451	rebounds
523,454,524,430,587,431,587,455	begins
132,450,132,432,211,432,211,450	material
85,431,127,430,127,451,86,452	that
60,452,60,431,84,431,84,452	eof
264,421,264,405,373,405,373,421	gamma-ray
503,421,503,403,557,403,557,421	same
1,424,1,400,62,400,62,424	speed
379,420,379,401,433,401,433,420	burst.
562,401,600,400,600,420,562,421	time
143,401,199,400,199,420,143,420	which
91,424,91,399,138,399,138,424	flight,
467,421,467,400,502,400,502,421	the
439,402,463,400,465,419,440,421	At
225,421,225,400,260,400,260,421	the
67,400,89,400,89,421,67,421	lofl
462,388,462,372,482,372,482,388	as
303,388,303,370,348,371,348,389	then
3,390,3,369,94,370,94,390	O'Connor
486,392,486,369,524,369,524,392	this
423,371,455,370,456,388,424,389	out
352,370,400,368,400,392,353,393	spits
200,388,200,370,251,370,251,388	black
151,390,151,369,196,369,196,390	"The
99,369,146,369,146,389,100,390	said
522,394,522,368,557,368,557,394	sjet,
255,369,298,369,299,388,255,389	hole
561,368,600,367,600,389,561,390	whi
434,343,487,342,488,358,434,359	some
556,359,556,341,600,341,600,359	mate
122,357,122,341,189,341,189,357	creates
384,340,428,339,428,357,384,358	then
3,360,3,339,91,339,91,360	implodes,
320,339,378,338,378,358,321,359	which
492,358,492,339,514,339,514,358	eof
266,361,266,337,315,337,315,361	kole
214,339,264,338,264,357,214,357	black
517,358,517,337,552,337,552,358	the
531,330,531,308,572,308,572,330	tyou
55,309,125,308,125,325,55,326	current
131,325,132,306,273,309,272,328	cunderstanding
490,327,490,308,532,308,532,327	that
363,308,463,308,463,325,363,326	explosions
1,326,2,308,50,308,50,327	"Our
302,326,303,307,358,307,358,326	these
576,327,576,307,599,307,599,327	tha
274,309,300,305,303,327,278,330	goft
2,260,99,257,99,274,3,277	generated
337,256,416,255,416,273,337,274	material
509,273,510,255,562,255,562,274	more
424,271,424,255,503,256,502,272	outward
268,256,330,254,331,275,268,277	expels
565,274,565,254,600,254,600,274	slow
205,255,262,254,262,273,206,274	which
144,274,144,254,198,254,198,275	burst,
105,274,105,253,139,253,139,274	the
563,246,563,225,600,226,600,247	sup
1,226,37,226,37,244,1,244	can
270,227,397,226,397,241,270,242	Astronomers
200,244,200,225,264,225,264,244	weeks.
404,243,404,224,443,224,443,243	also
72,243,72,224,160,225,159,244	observed
445,242,446,222,491,223,490,244	look
166,243,166,224,196,224,196,243	for
526,222,561,221,561,243,527,244	the
492,244,492,222,523,222,523,244	<for
41,243,41,223,68,223,68,243	be
518,195,594,194,594,216,518,216	gamma-
359,212,359,193,436,194,435,213	minutes
140,213,141,192,207,194,206,215	/lastingf
466,213,467,193,514,194,513,215	best,
442,212,442,194,462,194,462,212	at
301,212,301,194,353,194,353,212	short
260,213,260,192,298,192,298,213	fews
94,216,95,191,138,193,137,218	only
2,213,3,190,90,192,89,215	Although
209,214,209,192,240,192,240,214	for
304,143,330,142,330,160,305,161	us
470,142,544,142,544,157,470,158	science
2,162,2,142,122,142,122,162	wavelengths,
336,159,336,141,425,141,425,159	maximize
176,141,217,140,218,159,176,160	that
132,160,132,140,172,141,172,161	and
431,140,465,138,466,159,431,161	the
220,159,220,140,254,140,254,159	will
257,161,258,138,302,140,301,163	lhelp
436,113,535,112,535,130,436,131	telescopes
541,130,541,111,574,111,574,130	are
169,111,262,111,262,128,169,129	'O'Connor
97,110,155,110,155,129,98,130	detail
33,128,33,110,92,111,92,128	better
353,129,353,109,400,110,399,129	least
316,128,317,108,350,109,350,129	."At
0,129,0,109,29,109,29,129	lot
402,131,402,108,431,108,431,131	50t
267,130,267,107,312,107,312,130	said.
577,128,577,109,596,109,596,128	Io
396,101,396,82,425,82,425,101	us,
577,96,579,81,598,83,597,98	to
429,99,429,81,460,81,460,99	we
198,80,276,79,276,102,198,103	appears
279,99,279,81,305,81,305,99	so
138,97,138,81,191,81,191,97	event
8,82,89,82,90,95,8,96	"Because
371,97,372,80,394,82,394,98	to
531,98,531,78,573,78,573,98	able
462,79,496,78,497,97,463,98	will
96,78,133,78,133,98,96,99	this
309,99,309,77,366,77,366,99	bright
501,97,501,78,527,78,526,98	be
4,30,91,29,91,47,4,48	energetic
542,30,599,29,599,45,542,46	status
396,45,397,27,465,29,464,46	event's
125,30,253,30,254,43,125,44	GRB221009A
97,46,98,29,121,30,120,47	as
469,28,536,26,537,47,470,49	special
262,46,262,27,328,28,327,47	adding
333,46,333,27,353,27,353,46	to
357,46,357,25,392,25,392,46	the
421,4,507,1,507,11,421,13	observed
130,2,242,0,242,17,130,18	gamma-ray
516,15,516,1,581,2,581,16	betore,
248,3,308,1,308,13,248,15	bursts
65,1,125,1,125,15,65,15	Closer
365,15,366,1,414,2,414,15	been
312,1,360,0,360,14,312,15	have
3,15,3,1,59,2,59,16	Earth.
