26,352,103,350,103,365,27,367	advancell
253,340,253,327,293,327,293,340	even
448,342,448,326,482,326,482,342	you
228,327,249,326,249,339,228,340	or
296,343,297,324,359,325,359,344	Crypto.
398,339,398,324,446,324,446,339	thank
157,324,225,324,225,339,157,340	Patreon
90,325,151,324,151,339,90,340	Venmo,
24,341,25,322,84,323,84,342	PayPal
484,323,504,323,504,340,484,340	in
363,342,363,322,395,322,395,342	We
188,310,188,302,196,302,196,310	a
334,314,335,296,383,297,382,315	Open
454,314,454,295,522,296,522,314	through
312,297,332,297,333,312,313,312	to
96,313,96,297,118,297,118,313	FOR
27,298,89,297,89,312,27,313	blocker,
386,311,386,296,452,296,452,311	Culture
120,312,121,295,186,297,186,315	rmakings
203,297,306,295,306,310,204,312	contribution
441,289,442,270,483,270,483,289	your
119,272,151,270,152,286,120,287	ours
25,287,26,272,115,272,115,288	exempting
188,272,393,269,393,284,189,287	(www.openculture.com)
153,287,153,268,187,268,186,287	site
487,285,487,269,508,269,508,285	ad
397,286,397,267,439,267,439,286	from
386,244,442,243,442,260,386,260	please
314,258,314,243,379,243,379,258	Culture,
192,243,258,242,259,262,192,263	support
445,257,445,243,519,243,519,257	consider
263,261,263,242,311,242,311,261	Open
167,258,167,243,188,243,188,258	to
23,263,24,240,77,242,77,265	Ifyou
78,243,130,243,130,257,79,257	would
133,258,134,241,165,241,165,258	like
156,167,156,153,179,153,179,167	an
92,153,151,152,151,166,92,166	sustain
392,169,392,151,432,151,432,169	kkeep
184,152,281,151,281,166,184,166	educational
286,151,351,151,351,166,286,166	website
355,167,355,150,389,150,389,167	and
26,166,26,150,65,150,65,166	hard
434,151,449,150,451,167,436,168	it
69,166,69,151,87,151,87,166	to
452,167,452,148,493,149,492,167	free
65,140,65,127,111,127,111,140	users
361,140,362,125,400,127,399,142	now
467,145,467,125,507,125,507,145	very
114,141,114,125,152,125,152,142	now
403,124,466,124,466,145,403,146	getting
155,142,155,123,225,124,225,143	running
25,140,25,124,62,124,62,140	web
254,140,254,124,326,124,326,140	blockers,
227,141,227,122,251,122,251,141	gad
332,142,332,122,360,122,360,142	it's
232,113,232,98,255,98,255,113	an
402,98,457,97,457,109,402,110	almost
126,98,179,96,179,114,126,115	you're
285,111,285,97,346,97,346,111	blocker.
181,114,182,95,230,96,230,116	using
354,111,354,96,397,96,397,111	With
42,111,42,96,87,96,87,111	looks
257,95,279,95,279,112,257,112	adi
90,112,91,95,123,95,122,113	like
26,111,26,96,40,96,40,111	It
461,95,496,94,496,111,461,111	thalf
497,113,498,94,519,95,518,113	fof
100,52,183,51,183,65,100,66	Detected!
22,67,22,50,95,50,95,67	Adblock
