340,372,340,354,454,354,454,373	opportunity.
264,353,333,353,333,369,264,369	lifetime
446,323,568,323,568,338,446,339	astronomers
418,340,418,322,441,322,441,340	as
339,321,411,321,411,340,340,340	months
579,339,579,321,598,321,598,339	st
260,339,261,317,334,320,333,342	coming
333,293,360,292,361,308,333,309	on
261,293,328,290,329,310,262,313	papers
395,308,395,291,464,291,464,309	aspects
536,291,597,290,597,307,536,308	carefu
495,289,531,289,532,308,495,308	this
471,308,471,289,491,289,491,308	SOF
366,288,389,288,389,309,366,309	all
361,274,361,259,487,260,487,275	GRB221009A
261,280,261,257,310,257,310,280	hope
316,258,356,257,357,277,316,277	that
529,280,530,255,573,256,573,281	lhelp
491,258,525,258,526,276,491,276	will
577,257,599,256,600,278,579,279	fin
260,231,288,230,289,247,261,248	on
292,247,293,227,356,228,356,249	theory
505,246,506,225,596,229,595,249	modeling
403,247,403,227,497,227,497,247	computer
361,247,361,226,399,226,399,247	and
373,198,445,197,445,214,373,215	current
449,215,450,195,592,197,592,217	tunderstanding
262,211,262,199,276,199,276,211	A
335,215,336,195,369,197,368,216	the
278,215,278,195,306,195,306,215	lot
310,215,310,194,333,195,332,215	toft
262,160,262,147,334,148,334,161	corners
552,164,552,143,600,143,600,164	thave
491,144,547,143,547,164,491,165	might
403,145,483,144,484,162,403,163	universe
365,162,365,143,399,144,398,163	the
340,163,340,143,362,143,362,163	soft
263,113,385,112,385,130,263,131	astronomers
517,131,517,112,556,112,556,131	that
436,129,436,112,509,114,509,131	realized
560,131,560,111,600,112,600,132	thes
391,130,391,111,431,112,430,130	first
539,82,599,81,599,102,539,102	emyste
443,81,534,80,535,103,443,104	complete
328,84,419,82,419,98,328,100	remained
262,83,321,81,321,98,263,100	bursts
329,70,329,53,358,53,358,70	on
261,54,288,53,288,70,261,71	an
291,74,292,51,327,52,326,75	eye
426,52,496,51,496,67,426,68	nuclear
502,70,503,48,569,51,568,73	testing
361,50,420,50,420,67,361,68	Soviet
572,50,599,47,600,70,574,73	s(wl
552,20,598,19,599,38,553,39	1960
512,19,545,18,546,37,513,39	the
405,19,483,18,483,37,405,38	accident
262,20,367,20,367,37,262,37	Discovered
374,42,374,19,400,19,400,42	lby
488,38,488,18,510,18,510,38	tin
