0,374,0,352,55,354,55,375	tunity.
46,339,46,323,168,323,168,339	astronomers
510,340,510,320,599,320,599,341	once-in-a
18,339,19,323,41,323,40,339	as
264,321,317,320,317,338,264,339	make
407,338,407,320,440,320,440,338	out
359,338,359,319,403,319,403,339	best
321,319,355,319,356,338,322,339	the
179,319,233,318,233,338,179,339	strive
470,339,470,319,507,319,507,339	this
235,319,261,318,261,340,236,341	etor
443,339,443,317,468,318,467,340	toft
384,299,384,297,386,297,386,299	a
2,292,64,290,65,309,3,311	spects
567,296,567,294,569,294,569,296	the
320,308,320,291,372,291,372,308	event
571,295,571,294,573,294,573,295	I
496,290,555,289,555,307,497,308	follow
225,290,312,290,312,306,225,306	observed
400,308,400,288,466,290,465,309	certain
472,291,491,289,493,306,474,308	to
133,310,134,287,219,289,218,312	carefully
382,293,392,292,393,301,383,302	is
96,308,96,288,132,288,132,308	this
70,308,70,288,93,289,92,309	oft
565,303,565,292,578,292,578,303	in
514,261,595,260,595,276,515,277	research
420,272,420,263,429,263,429,272	I
440,260,484,258,484,275,441,277	slew
4,276,4,259,87,260,87,277	221009A
331,275,332,259,420,260,419,277	theories.
180,276,180,259,264,260,264,276	fine-tune
269,277,269,257,326,258,325,278	those
130,280,130,256,173,256,173,280	lhelp
91,259,126,257,127,276,92,277	will
488,277,488,258,510,258,510,277	of
502,229,596,227,597,243,502,245	astronome
204,246,204,228,265,228,265,247	rather
322,228,446,227,447,245,322,246	observations,
106,245,107,225,197,229,196,249	modeling
2,227,97,227,97,247,3,247	computer
270,227,315,226,315,246,270,246	than
456,246,456,226,495,227,495,248	and
221,216,221,198,333,199,333,216	gamma-ray
2,198,45,197,45,214,2,215	rent
50,215,50,194,192,197,192,217	tunderstanding
563,215,563,196,598,196,598,215	Ibas
338,215,339,196,401,197,400,217	bursts,
524,215,524,195,559,195,559,215	still
409,214,410,195,494,195,494,215	however,
197,215,197,196,219,196,219,215	of
569,145,599,144,600,163,570,165	tsta
515,145,566,143,567,166,516,168	ggiants
416,163,416,144,511,145,511,164	collapsing
367,144,410,143,410,162,368,163	with
204,162,204,143,307,145,307,164	something
153,163,153,144,201,144,201,163	have
91,143,147,142,147,165,91,166	might
3,162,3,144,85,144,84,163	universe
337,144,365,143,365,163,337,164	do
310,143,334,142,336,163,312,165	got
312,130,312,112,379,113,379,131	flashes
221,115,304,114,304,130,221,131	powerful
534,131,535,111,581,112,581,131	from
161,131,161,111,215,112,215,132	these
456,132,457,110,530,112,529,133	tcoming
116,111,157,111,157,131,116,131	that
35,130,36,112,110,113,109,131	realized
0,114,31,111,32,131,0,134	irstr
410,110,454,109,454,134,410,135	flight
384,112,407,111,407,131,385,131	soft
365,101,365,84,404,84,404,101	was
140,103,141,81,218,82,217,104	mystery
517,82,573,81,573,100,517,100	1990s
258,82,336,81,336,98,258,99	decades.
43,81,134,80,134,103,43,104	complete
407,79,451,78,452,104,408,105	onlyi
0,100,0,81,23,81,23,100	ed
477,80,512,79,512,100,477,101	the
220,80,252,80,252,101,221,101	/for
577,101,577,80,598,80,598,101	sth
453,101,453,79,475,79,475,101	vint
524,71,524,54,598,54,598,71	gamma
386,53,517,52,517,72,386,73	gamma-rays),
291,52,381,51,381,69,291,70	produces
27,67,27,52,96,52,96,68	nuclear
245,50,285,49,286,71,246,73	too,
173,71,173,48,239,49,239,72	(which,
103,70,104,49,169,51,168,72	testing
0,70,0,50,22,50,22,70	et
285,21,358,21,358,40,285,40	military
363,20,447,19,447,37,363,38	satellites
240,20,280,19,280,38,240,38	U.S.
152,21,207,19,207,37,152,38	1960s
587,31,589,22,596,23,595,32	k
455,39,455,19,552,19,552,39	developed
113,39,113,18,146,19,146,39	the
4,20,83,19,83,36,5,37	accident
211,42,211,18,239,18,239,42	by
561,38,561,19,582,19,582,38	to
88,19,109,18,110,38,88,39	tin
