51,261,52,244,93,245,93,262	use
1,260,1,242,48,242,48,261	ublic
195,230,195,213,239,213,239,231	new,
41,212,117,212,117,228,41,228	DALL-E
245,231,246,210,345,211,344,232	,improved,
0,211,37,210,38,232,0,233	just
120,228,120,212,154,212,154,228	but
158,211,191,210,191,229,158,230	the
348,212,522,210,522,231,348,233	higher-resolution
187,203,187,183,227,183,227,203	you
227,183,265,183,265,199,227,199	can
0,198,0,183,28,183,28,198	are
268,203,268,179,300,179,300,203	try
327,179,364,179,364,202,327,202	topt
139,198,139,180,184,180,184,198	Now
446,180,491,179,491,197,446,198	both
32,181,134,179,135,198,32,200	ridiculous.
521,197,522,178,578,179,578,198	fthose
368,180,418,179,418,197,368,198	them
302,180,326,178,327,200,303,201	yto
421,180,444,179,444,197,422,198	into
495,198,496,178,520,179,520,199	noft
0,152,37,151,37,166,0,166	ears
39,153,68,151,69,166,40,168	son
109,165,109,149,191,151,191,167	internet,
290,166,290,148,327,148,327,166	rise
484,166,484,148,528,148,528,166	host
197,148,287,147,287,166,197,167	DALL-E'S
71,148,105,147,105,166,71,167	the
370,168,370,148,464,149,464,169	produced
330,167,330,147,366,147,366,167	has
530,166,530,145,556,146,555,167	tof
142,135,142,119,171,120,171,135	on
211,120,273,119,273,134,211,135	moon
315,139,315,118,353,118,353,140	any
84,119,138,118,139,134,84,136	horse
4,137,4,118,63,118,63,138	riding
173,135,173,117,207,117,207,136	the
357,118,536,115,536,131,357,135	the-future-is-now
276,136,276,116,313,116,313,136	like
390,105,391,86,468,87,468,106	starring
0,105,0,87,49,87,49,105	essed
323,103,323,86,385,87,385,103	Gothic
93,103,93,86,152,87,152,103	Travis
472,105,472,85,540,85,540,105	Homer
544,85,582,85,583,104,544,105	and
157,103,157,85,216,85,216,103	Bickle,
224,86,318,86,318,104,224,104	American
53,104,53,85,89,85,89,104	like
243,58,329,54,329,71,244,75	generate
127,76,127,55,194,55,194,76	engine
198,74,198,55,239,55,239,74	that
333,73,334,53,402,56,401,76	images
8,77,8,55,124,55,124,77	-intelligence
528,56,568,55,568,73,528,73	text
458,76,458,54,523,54,523,76	simple
406,54,453,54,453,72,407,73	from
362,24,412,23,412,41,362,42	work
56,44,56,24,119,24,119,44	media,
0,25,51,24,52,42,0,43	social
324,42,324,24,358,24,357,43	the
233,44,233,24,320,25,320,45	glimpsed
440,42,440,24,520,24,520,42	DALL-E,
181,24,227,23,227,42,181,42	have
126,22,178,21,179,45,126,46	,you'll
415,23,440,22,440,41,415,42	cofl
