59,281,59,262,173,262,173,282	mountain
180,262,333,261,333,282,180,282	communities.
58,225,201,223,202,243,59,245	monuments
429,248,430,220,502,223,501,251	davery
345,222,425,222,425,242,345,242	served
284,249,284,220,340,220,340,249	epasts
508,222,599,219,600,248,508,250	ypractica
239,243,240,221,281,222,281,244	the
206,221,236,220,237,243,206,244	stop
579,194,579,191,581,191,581,194	I
194,187,224,184,225,204,196,207	as
349,202,350,179,485,184,484,208	community
495,206,496,179,588,181,587,208	Beyond
247,203,248,180,343,184,342,207	farming
58,205,59,181,191,183,190,207	beginnings
58,164,59,144,125,145,125,164	barns
194,163,194,144,264,144,264,164	borne
447,164,447,143,536,145,536,166	monied
399,164,399,143,440,144,440,165	the
271,165,271,142,361,143,361,165	witness
542,164,543,142,577,143,577,165	ski
130,143,187,142,188,164,131,166	have
365,142,395,141,395,166,366,166	stop
297,107,356,106,356,123,297,124	town
362,106,453,104,453,126,362,127	located
218,107,289,106,289,124,218,124	resort
487,106,596,103,596,124,487,127	southern
85,126,86,103,191,106,190,129	Zermatt,
458,127,458,103,484,103,484,127	ins
57,127,57,103,82,103,82,127	in
434,88,435,66,545,68,545,90	country's
294,65,427,65,427,88,294,88	landlocked
248,87,248,65,289,65,289,87	the
548,92,548,63,599,63,598,93	high
160,87,160,63,243,64,243,88	freckle
109,87,109,65,156,65,156,87	still
58,87,58,64,105,64,105,87	and
303,46,303,26,385,29,385,48	stadels
391,28,563,26,563,51,392,53	(grain-storage
566,26,599,25,599,47,567,48	ba
136,47,136,26,296,26,296,47	centuries-old
58,47,58,24,130,24,130,47	These
