96,278,96,258,165,258,165,278	system.
41,257,90,256,91,275,41,276	solar
4,274,4,256,38,257,38,275	the
373,242,373,228,450,228,450,242	uncover
343,243,343,227,368,227,368,243	us
255,244,255,226,292,226,292,244	can
457,242,457,226,508,226,508,242	more
296,246,296,223,341,224,340,247	help
77,225,124,224,124,243,77,243	suite
28,243,29,224,73,225,73,244	next
569,243,569,225,600,225,600,243	abo
513,244,513,223,563,223,563,244	clues
155,243,155,225,206,225,206,243	rocks
211,243,211,224,252,224,252,243	that
0,225,25,224,26,243,0,244	he
129,224,152,223,153,243,129,244	ofr
30,197,84,197,84,210,30,211	moon
272,211,273,195,308,196,307,213	lour
313,197,395,196,395,210,314,211	research
174,194,224,193,224,211,175,212	time
91,211,92,191,169,194,168,213	through
498,212,499,193,568,194,568,213	already
458,212,458,193,492,193,492,212	has
402,194,451,193,452,211,403,212	team
0,194,24,194,25,212,0,212	he
228,211,228,193,268,193,268,211	And
573,194,599,193,599,212,573,212	be
235,165,276,164,277,180,235,181	new
9,163,60,163,61,181,9,182	other
528,181,528,163,575,163,575,181	trace
281,179,282,161,377,164,376,182	modelling
143,181,144,163,187,163,187,182	data
383,163,495,160,496,182,384,184	approaches
193,181,193,162,231,162,231,181	and
67,180,67,163,138,163,138,180	reliable
498,162,522,160,524,180,501,183	stop
44,98,45,82,70,82,70,99	us
494,97,494,81,598,83,598,99	Earth-moo
127,100,127,81,269,81,269,100	understanding
0,79,42,78,43,102,1,103	give
457,98,457,79,490,79,490,98	the
299,97,299,79,332,79,332,97	the
337,80,426,78,427,97,337,98	evolution
274,78,297,77,297,98,274,99	oft
432,79,455,78,456,98,432,99	oft
91,77,123,77,124,97,92,97	full
412,50,452,50,452,67,412,68	one
127,66,128,47,249,50,249,69	sedimentary
317,66,317,48,405,50,405,67	However,
254,67,255,48,311,50,311,69	rocks.
53,67,53,48,122,48,122,67	ancient
559,66,560,48,599,49,599,67	data
0,49,23,48,24,67,0,68	nsi
457,67,457,49,553,50,553,68	important
23,67,24,47,49,48,48,69	sin
360,20,396,18,397,35,361,37	can
87,40,87,17,133,17,133,40	tpast
137,36,137,18,185,18,185,36	solar
46,36,46,18,85,18,85,37	that
265,17,355,16,356,36,265,37	dynamics
190,19,258,15,259,36,191,40	system
1,37,2,16,43,19,42,40	zingt
550,35,551,17,597,18,597,36	from
432,18,543,17,543,34,432,35	determined
399,18,426,17,427,36,399,36	be
