0,228,50,228,51,242,0,242	cover
57,227,108,226,108,241,57,242	more
170,243,170,225,226,225,226,244	about
113,225,163,224,164,244,114,245	clues
174,213,175,193,237,197,236,216	begun
98,212,99,191,169,194,168,215	already
3,212,3,193,52,193,52,212	team
57,193,92,193,93,213,57,213	has
181,180,181,163,214,163,214,181	the
0,164,95,161,96,180,1,184	proaches
99,161,123,161,123,181,100,181	stop
126,180,127,159,177,160,176,182	trace
95,97,95,81,211,82,210,99	Earth-moon
0,98,0,80,30,80,30,98	ion
57,97,58,79,91,80,90,98	the
31,99,32,77,55,78,55,99	oft
14,67,14,50,52,50,52,67	one
159,48,202,47,203,67,160,68	data
56,68,56,47,155,49,155,69	important
151,17,197,16,198,35,151,35	from
1,17,27,17,27,36,1,36	be
32,20,144,18,144,34,33,37	determined
