408,179,408,160,473,160,473,179	which
177,159,273,159,273,179,177,180	contrast
476,160,595,157,595,182,477,185	comprises
63,180,63,157,147,159,147,181	chassis
308,182,308,159,405,160,405,183	Zion-Ex
276,159,302,159,303,180,277,181	to
151,180,151,159,174,159,174,180	in
551,145,551,128,600,128,600,145	enve
474,147,474,127,545,127,545,147	power
432,145,432,125,470,126,470,146	the
220,145,220,124,345,125,345,146	bandwidth,
63,124,118,124,118,147,63,148	data
350,124,398,124,398,145,350,146	and
123,145,123,124,215,124,215,145	network
400,146,400,124,427,124,427,146	2x
583,105,583,97,590,97,590,105	-i
416,93,447,92,447,112,416,112	as
357,90,413,90,413,112,357,113	such
63,110,63,90,114,91,114,111	over
149,113,150,90,294,90,293,114	predecessor,
524,111,525,89,575,90,575,111	host-
483,110,483,90,520,90,520,110	the
118,111,119,89,147,90,146,112	its
447,109,450,88,479,91,477,112	4xt
300,89,352,87,353,112,301,114	Zion,
373,73,373,72,374,72,374,73	:
296,68,296,67,297,67,297,68	the
294,68,294,67,296,67,296,68	--
293,66,295,64,297,66,295,68	I
295,65,295,64,296,64,296,65	I
294,65,294,64,296,64,296,65	I
295,65,295,63,296,63,296,65	I
295,65,295,63,296,63,296,65	I
300,63,300,62,301,62,301,63	the
298,63,298,62,299,62,299,63	the
297,63,297,62,298,62,298,63	the
203,74,203,57,242,57,242,75	our
63,73,64,53,172,58,171,78	follow-upt
342,55,444,52,444,75,342,78	<platform.
525,55,588,54,589,75,525,75	Teton
448,74,448,53,520,54,520,75	Grand
307,75,307,54,340,54,340,76	-EX
247,76,247,54,308,54,308,76	zion-e
174,55,200,54,200,75,175,76	to
419,24,459,23,459,40,419,40	our
523,21,600,20,600,44,523,44	-genero
129,38,130,16,264,21,264,43	announcing
64,22,125,21,125,39,65,40	We're
346,38,347,18,415,21,414,42	Teton
269,19,342,18,343,40,269,41	Grand
463,40,463,18,512,19,512,40	tnext
