3,587,81,586,81,599,4,600	poower
283,600,283,584,322,584,322,600	per
220,583,277,582,277,599,220,600	15kW
89,586,183,583,184,596,89,598	capacity
191,600,191,581,216,581,216,600	of
203,565,203,545,290,546,289,566	minutes,
18,567,18,545,115,546,115,568	capacity
150,565,150,546,196,546,196,566	four
120,567,120,544,147,544,147,567	/to
88,438,174,437,174,456,88,456	support
0,436,40,435,41,458,1,459	put
221,457,221,434,295,434,295,457	higher
43,455,43,435,83,435,83,455	will
179,456,179,434,218,434,218,456	the
132,421,132,404,175,404,175,421	can
45,401,126,400,126,419,45,420	shelves
0,400,39,398,40,423,0,425	iples
214,420,214,399,309,399,309,420	installed
178,400,210,398,211,421,179,423	be
2,385,2,368,57,369,57,386	ower
207,366,318,366,318,385,207,385	anywhere
122,385,122,366,198,366,198,385	installs
63,385,63,365,117,366,116,386	shelf
54,277,54,260,119,261,119,277	cases
8,277,9,259,50,260,50,278	fuse
153,276,153,254,253,258,252,280	including
197,243,197,221,263,221,263,243	frame
123,241,123,222,171,222,171,241	with
266,243,266,220,315,221,314,244	and
60,242,61,220,119,222,118,244	mind
33,243,33,220,56,220,56,243	in
0,245,0,218,30,219,30,246	ityi
0,207,0,190,43,191,42,209	een
47,192,129,189,129,204,48,207	present
261,205,261,186,316,187,315,206	data
138,187,183,186,183,207,138,207	and
187,205,187,185,255,186,255,206	future
0,171,0,155,19,156,19,172	er
251,174,251,154,323,154,323,175	power
144,172,144,153,196,153,196,172	rack
47,155,139,154,139,171,47,172	common
201,152,247,151,248,172,201,173	and
