0,235,1,218,20,219,19,236	real
91,217,143,216,143,237,91,238	rack
50,236,50,216,87,216,87,236	the
185,216,342,215,342,237,185,238	customization
146,237,146,215,182,215,182,237	for
22,236,23,214,48,215,47,238	int
12,202,12,184,81,184,81,202	power
280,206,280,182,323,183,323,207	per
87,203,87,181,184,182,184,203	capacity
218,202,218,180,278,181,278,202	15kW
190,180,215,179,216,202,191,203	of1
202,163,203,142,289,146,288,167	minutes,
151,165,151,145,197,146,196,165	four
17,167,18,143,116,147,115,171	capacity
120,145,147,144,148,167,120,168	vto
86,37,174,37,175,57,86,58	support
0,36,40,35,41,59,0,60	put
223,59,223,34,296,34,296,59	higher
179,56,180,35,218,36,217,57	the
44,36,82,36,83,55,44,55	will
132,21,132,4,175,4,175,21	can
44,21,44,2,127,2,127,21	shelves
214,2,309,2,309,21,215,21	installed
179,21,179,2,210,2,210,21	be
0,2,39,0,40,23,0,25	iple
