58,600,59,584,98,584,97,600	mvv
0,600,1,583,55,584,55,600	elow
101,583,150,582,150,600,101,600	feet
317,566,317,546,365,546,365,566	was
419,564,421,544,453,546,451,567	lan
1,565,1,544,75,545,74,566	eadow,
532,567,533,543,597,545,597,569	villag
459,545,527,543,527,564,459,565	entire
190,544,242,543,242,565,191,566	that
82,565,82,542,184,543,183,566	knowing
247,543,312,542,312,563,248,565	there
369,565,369,541,417,541,417,565	still
565,527,566,506,600,508,599,529	Iwa
255,527,256,504,357,505,357,528	Nuraghe
515,526,515,504,561,504,561,526	and
428,524,428,505,507,505,507,524	behind
364,526,364,503,422,503,422,526	Losa
138,531,139,503,186,504,185,532	sky,
206,527,206,503,249,503,249,527	left
82,504,136,503,136,524,83,526	blue
36,502,79,501,80,527,36,528	the
9,506,27,504,29,522,11,524	in
244,455,244,448,254,448,254,455	In
244,450,244,447,247,447,247,450	I
531,462,532,438,600,440,600,465	Nurag
0,442,21,439,23,461,0,463	very
443,461,444,438,525,438,524,461	bronze
312,438,385,437,385,461,313,461	hands
265,438,308,437,308,462,265,463	the
28,462,28,438,92,438,92,462	triple
159,460,159,437,230,437,230,460	found
96,439,155,438,155,459,97,461	flute
390,462,390,437,421,437,421,462	soft
238,459,238,438,260,438,260,459	in
24,421,24,404,83,404,83,421	worn
270,401,413,401,413,421,270,421	celebrations
167,401,261,400,261,421,167,422	carnival
546,425,548,398,598,401,596,428	bag
120,400,163,399,163,422,121,423	the
421,423,421,398,468,398,468,423	and
90,422,90,400,115,400,115,422	at
499,423,499,398,543,398,543,423	the
472,399,494,398,495,421,473,422	in
527,389,527,361,598,361,598,389	cpracti
193,382,193,361,310,362,310,383	Traditions
430,383,431,359,522,363,521,387	Nuragic
70,383,70,360,114,360,114,383	not
318,361,390,360,390,383,318,384	linked
116,387,117,357,175,360,174,390	titaly."
1,361,40,360,41,384,2,385	inia
396,383,396,359,424,359,424,383	to
45,362,62,360,65,380,48,382	is
64,346,64,324,104,324,104,346	lam
180,325,313,323,313,347,181,349	(Sardinian),"
108,343,109,322,174,323,173,344	sarda
496,344,497,321,580,324,579,348	feeling
385,344,386,318,469,321,468,347	Laconi
0,345,1,320,44,323,42,348	ian,
330,320,379,317,380,344,331,346	said
5,276,5,260,160,261,160,277	manifestation
250,259,357,258,357,277,250,277	Sardinian
367,257,428,255,428,279,368,280	soul.
200,255,245,254,245,279,201,280	ftp>
173,280,173,256,199,256,199,280	of
505,244,505,222,595,222,595,244	present.
1,240,1,222,21,222,21,240	rs
368,220,422,218,423,243,369,245	part
102,218,162,217,163,248,102,248	past,
239,241,239,216,363,217,363,242	ubiquitous
458,216,500,215,500,240,458,241	the
425,242,425,215,457,215,457,242	toft
166,240,166,215,210,215,210,240	but
57,241,57,215,100,216,99,242	the
27,241,27,216,53,216,53,241	soft
0,182,26,179,29,206,1,209	SS,
511,181,582,180,583,202,511,202	traces
439,201,439,180,504,180,504,201	other
80,199,80,179,204,179,204,199	thousands
391,178,432,177,433,200,392,201	the
340,179,385,177,386,200,341,202	and
244,179,334,177,334,202,245,204	nuraghi
31,201,31,178,75,178,75,201	,the
210,200,212,178,240,180,238,202	soft
4,100,4,76,134,77,134,101	treitberger)
461,37,558,36,558,57,461,58	continue
162,59,162,38,280,38,280,59	sculptures
564,58,565,36,594,37,593,60	to
4,63,4,35,157,35,156,63	000-year-olds
362,37,458,34,459,60,363,62	I"giants"
285,59,285,35,358,35,358,59	called
