21,566,21,545,53,546,53,566	an
220,566,220,543,306,544,306,566	waiting
133,565,134,542,214,547,212,570	village
59,545,127,544,127,565,59,565	entire
310,544,339,538,344,564,315,570	gto
343,541,376,539,378,564,345,566	be
0,525,0,508,23,511,21,528	salt
321,527,321,504,414,504,414,527	through
167,505,250,504,250,525,168,526	walked
259,526,259,504,316,505,315,527	back
115,504,162,502,163,526,116,527	and
29,506,107,504,108,522,30,524	behind
422,527,422,502,467,502,467,527	the
232,463,232,438,350,440,350,464	sculpture
3,456,3,445,8,445,8,456	I
132,439,225,437,226,465,133,467	Nuragic
44,460,44,438,125,439,125,461	bronze
3,413,6,407,10,410,8,415	coin
303,401,375,398,375,419,304,422	sound
23,399,67,398,67,422,23,423	and
150,398,297,398,298,424,150,425	bagpipe-like
99,423,99,398,144,399,144,423	the
412,422,412,398,456,398,456,422	the
381,423,381,397,412,397,412,423	doft
70,423,70,398,96,398,96,423	din
343,386,343,362,377,362,377,386	on
130,364,235,362,235,381,130,383	practices
31,386,31,360,122,360,122,387	Nuragic
0,383,0,362,25,362,25,383	to
407,360,451,359,452,383,407,385	the
244,383,244,359,292,359,292,383	still
296,358,339,358,339,382,296,382	live
379,383,379,359,403,359,403,383	in
378,347,378,324,414,324,414,347	on
307,349,308,321,376,323,375,351	many
186,325,264,323,265,343,187,346	shared
2,344,2,322,71,325,70,346	aconi,
96,344,97,321,180,324,179,347	feeling
417,345,417,321,460,321,460,345	the
273,346,274,319,304,321,302,347	by
0,258,28,255,30,278,0,282	ult
441,241,441,221,481,221,481,242	are
310,245,310,221,371,221,371,245	ways,
16,227,16,224,19,224,19,227	=
238,243,239,218,304,220,303,245	many
104,222,197,217,198,240,106,244	present.
378,243,379,216,437,218,436,246	,they
4,236,4,222,21,222,21,236	rt
204,240,204,216,234,216,234,240	In
57,240,59,215,101,217,99,242	ftp>
24,240,24,215,55,215,55,240	tof
39,199,40,180,104,182,103,201	other
110,202,110,179,183,179,183,202	traces
419,200,420,179,489,181,488,201	aren't
287,198,287,181,408,181,408,198	civilisation
220,201,220,178,279,178,279,201	their
0,180,33,179,33,202,0,203	he
189,200,190,177,217,178,216,202	soft
365,49,368,46,371,49,368,52	In
360,56,363,39,377,41,374,58	in
232,56,232,37,348,39,348,58	unearthed
62,57,62,37,158,39,158,59	continue
385,57,386,36,480,39,480,60	Sardinia
0,36,57,35,58,61,0,62	ants"
196,59,196,36,226,36,226,59	be
162,58,164,34,193,36,191,60	eto
