217,213,267,213,268,227,217,228	mass
0,211,60,209,60,230,0,231	istory,
69,228,69,209,102,210,102,229	the
105,210,212,208,213,228,105,230	Ordovician
0,178,37,178,37,200,0,201	ray
94,200,94,176,140,177,140,201	tmayh
194,197,194,177,283,177,283,197	triggered
40,195,41,176,92,177,91,196	burst
143,177,189,176,190,196,144,197	have
2,167,2,148,60,148,60,168	anges
248,146,290,146,290,165,248,165	that
88,165,88,147,122,147,122,165	the
126,168,126,146,245,147,245,169	atmosphere
62,167,62,145,87,145,87,167	int
194,136,194,115,266,117,265,137	destroy
129,117,187,117,187,132,129,132	would
23,136,23,114,124,115,124,137	light-years
0,118,15,116,17,132,1,134	of
65,105,66,85,177,86,177,106	gamma-ray
5,103,5,84,45,84,45,103	that
240,102,241,83,297,83,297,102	aimed
183,84,233,84,233,102,183,102	burst
1,74,1,54,52,55,52,75	a-ray
113,54,167,54,167,72,113,72	much
172,54,230,53,230,72,173,73	closer
56,72,56,53,107,53,107,72	burst
234,72,234,53,257,53,257,72	to
9,25,30,25,31,41,9,42	as
34,40,34,23,184,23,184,40	GRB221009AIS
204,23,254,22,254,40,204,40	boon
259,22,281,21,281,41,259,42	to
