121,301,121,282,203,283,203,302	question
309,300,309,282,364,282,364,301	origin
211,284,266,284,266,299,212,299	about
271,282,304,281,304,300,271,301	the
81,300,82,282,115,283,114,302	the
17,282,74,281,75,299,17,300	raised
370,301,370,280,392,280,392,301	of
0,232,55,231,56,253,0,255	a-greyl
58,251,58,228,118,229,118,252	layers.
199,216,199,203,276,203,276,217	uncover
133,222,133,200,192,200,192,222	gorge,
13,217,14,198,90,200,90,218	through
94,218,95,198,130,200,129,219	the
299,201,372,198,373,219,299,222	pattern
0,187,0,168,35,169,35,188	ion.
91,186,92,166,175,168,174,188	surfaces,
39,186,39,169,86,169,86,186	Rock
296,186,297,168,347,168,347,187	been
182,187,182,168,239,169,239,187	which
246,186,246,169,293,169,293,186	have
230,142,319,139,319,155,231,157	presence
0,141,23,140,24,156,0,158	he
350,157,351,139,377,140,376,158	an
120,154,120,139,187,139,187,154	reveals
28,157,28,138,113,138,113,158	outcrops
193,156,193,138,226,138,226,156	the
324,156,324,136,347,136,347,156	of
264,123,264,106,316,107,316,123	more
0,107,54,105,54,124,1,125	softer
132,124,133,105,176,106,175,125	frock
58,105,103,104,103,128,59,129	type
180,106,236,104,236,123,180,124	which
106,104,130,104,131,124,107,124	off
242,124,242,105,260,105,260,124	is
104,78,104,61,164,61,164,79	Lantink)
0,77,0,62,101,63,101,78	avies/Margriet
288,57,288,41,371,41,371,57	eccentricity
21,57,21,40,80,42,80,58	changes
167,41,238,40,239,56,168,56	variations
261,56,261,40,286,41,286,56	the
83,40,142,40,142,56,83,56	induced
1,56,1,40,18,40,18,56	team
375,56,375,40,393,40,393,56	of
241,57,241,40,260,40,260,57	int
145,58,146,39,167,40,166,59	dby
204,32,204,30,206,30,206,32	-
200,33,201,26,210,27,209,34	at
239,37,239,24,294,24,293,38	average
215,35,215,23,235,23,235,35	an
138,36,139,20,194,22,194,37	arrows)
13,21,83,20,83,35,13,36	(indicated
108,20,135,20,135,36,109,37	the
87,39,87,20,108,20,108,39	dbyt
299,21,366,18,367,35,300,38	thickness
3,27,3,23,7,23,7,27	I
370,35,371,19,388,20,387,37	of
185,3,268,2,269,12,185,14	alternations
126,2,178,1,179,16,126,17	regular
62,16,62,1,123,2,123,16	showing
275,14,275,2,338,3,338,14	between
0,15,0,1,56,1,56,15	ustralia,
