37,414,91,413,91,433,37,434	More
531,389,532,372,577,374,576,391	own,
37,390,37,374,132,374,132,391	Advertise
436,370,496,370,496,390,436,390	under
500,391,500,367,527,367,527,391	rits
38,349,38,331,106,332,106,350	Events
534,347,534,329,598,330,598,348	Ventur
437,348,438,329,526,330,525,350	HubSpot
36,311,37,288,92,290,91,313	Apps
438,288,516,288,516,305,438,305	Venture
524,304,524,287,598,290,597,306	Partner
37,271,38,247,108,248,107,272	Crypto
437,264,438,245,545,248,545,267	technology
558,263,558,247,574,247,574,263	to
587,223,588,218,595,219,595,224	a
36,224,37,204,120,208,119,229	Security
529,207,574,207,574,224,529,225	core
437,224,437,203,523,204,523,225	Jaspers
38,183,38,165,116,165,116,183	Venture
494,183,494,164,548,164,548,183	Dave
436,183,437,162,488,163,488,183	CEO
550,185,551,160,598,163,597,187	Rog
37,142,38,125,123,125,123,143	Startups
484,103,538,102,538,121,485,122	more
543,122,543,102,588,102,588,122	than
435,103,478,101,479,120,436,123	with
158,93,158,91,160,91,160,93	Webber's
157,92,157,89,159,89,159,92	I
39,100,39,81,171,83,171,102	TechCrunch+
436,83,436,61,505,61,505,83	Jasper
559,81,559,60,594,60,594,81	the
531,62,553,59,556,80,534,83	in
512,79,513,61,531,62,531,80	is
37,29,107,28,108,46,37,47	Search
554,20,597,19,597,37,554,38	valu
489,37,489,20,547,20,547,37	billion
436,18,482,17,483,37,437,39	15
