1,415,1,401,60,402,59,416	anvas,
82,419,83,396,167,398,167,420	Pastel")
211,419,212,396,260,396,260,420	style
177,396,208,395,209,418,178,419	art
0,375,0,360,14,360,14,375	er
110,381,110,356,196,356,196,381	prompts
54,376,54,355,106,356,105,377	turns
200,355,240,354,241,376,200,377	into
18,375,18,355,50,355,50,375	Art
20,334,21,313,102,316,102,337	recently
108,314,202,313,202,333,108,334	launched
236,335,236,313,273,314,273,336	lart-
207,333,207,313,233,313,233,333	YAI
41,262,41,260,43,260,43,262	I
41,261,41,259,43,259,43,261	a
73,277,74,253,120,254,119,278	Hoop.
44,254,71,253,71,272,44,273	DAI
0,255,17,254,18,273,0,274	ck
22,274,22,253,48,253,48,274	to/
0,214,32,214,33,231,0,231	ave
126,231,126,211,222,211,222,232	feedback
76,211,121,211,122,231,76,231	best
37,231,37,211,71,212,71,232	the
174,170,174,151,266,151,266,170	Hubspot
130,170,130,151,168,151,168,170	and
56,171,56,151,122,151,122,171	Notion
1,173,1,150,50,151,50,174	mail
94,112,168,111,169,127,95,128	content
2,112,86,112,86,128,2,129	ontextual
26,93,26,68,76,68,76,93	apps
0,88,0,70,23,71,22,89	er
128,87,128,69,211,69,211,87	services,
224,93,224,66,270,66,270,93	they
82,69,122,68,123,88,83,89	and
9,47,9,29,38,30,38,48	on
209,46,209,27,247,27,247,46	and
158,27,203,26,203,47,158,47	web
42,26,89,25,90,48,43,49	10%
120,46,121,26,154,27,153,47	the
94,47,95,25,118,26,117,48	oft
