376,534,376,516,466,516,466,535	enterprise
472,517,542,515,542,535,472,536	product
545,533,545,514,587,514,587,533	chal..
8,521,9,494,151,497,151,524	manage
158,492,303,491,303,520,158,521	product
406,505,407,488,526,489,526,506	ten-plus-year
531,486,581,485,581,504,532,505	reffort
373,505,373,483,403,483,403,505	his
475,460,526,459,526,476,475,477	came
534,465,539,459,543,463,538,468	to
377,473,377,458,463,460,463,476	Thinkstep,
553,475,553,456,583,456,583,475	the
532,460,546,458,548,472,534,474	to
7,453,207,451,208,483,8,485	companies
505,429,598,429,598,446,505,447	development
431,428,501,427,501,446,432,447	product
374,447,374,423,406,423,406,447	VP
406,444,408,424,429,425,427,446	pol
10,410,106,407,107,436,11,439	$18M
155,442,156,404,238,406,237,444	help
111,438,111,406,160,407,159,439	Itol
582,404,595,403,597,415,584,417	pr
374,399,455,398,455,417,374,418	engineer
487,418,487,396,536,396,536,418	Itrade
460,419,460,397,484,397,484,419	by
539,416,539,396,576,396,575,417	and
9,396,9,366,188,366,188,396	Makersite
497,387,498,370,577,371,577,389	D'Souza,
195,396,195,366,294,366,294,396	lands
398,389,398,367,449,367,449,389	2018
453,369,492,367,493,386,453,387	Neil
375,385,375,369,393,369,393,385	In
162,286,162,269,233,269,233,286	October
269,287,269,268,316,268,316,287	2022
85,285,85,268,148,268,148,285	GMT+8
8,267,48,267,49,287,8,288	2:49
237,287,239,265,269,268,267,290	19,2
49,286,50,267,81,267,81,287	PIPS
65,258,65,239,122,240,122,259	Njanja
6,240,60,240,60,255,7,256	Annie
132,221,132,188,290,188,290,221	currency
15,212,15,185,123,186,123,213	digital
498,198,499,178,595,180,595,199	e-currency
471,180,496,179,497,197,471,198	fan
374,199,374,179,442,179,442,199	viability
447,178,468,177,469,197,448,198	voff
498,170,498,151,579,151,579,170	countries
429,166,429,149,490,151,490,168	African
407,168,407,150,425,150,425,168	of
11,150,166,148,167,169,11,171	issuance
373,168,373,147,404,147,404,168	list
174,174,175,141,218,142,217,175	coffs
375,139,376,121,454,125,453,142	currency
459,121,536,121,536,143,459,144	(CBDC),
539,120,600,119,600,142,540,143	,joining
107,102,201,101,201,131,107,132	mulls
10,132,10,102,99,102,99,132	bank
560,112,560,92,600,92,600,112	cent
411,108,411,93,513,94,513,109	introduction
523,108,524,93,541,94,540,109	of
373,91,406,90,407,110,374,111	the
199,60,324,59,324,89,199,90	central
503,78,503,65,516,65,516,78	of
11,89,11,61,187,62,187,89	Eswatinis
417,63,493,62,493,79,417,80	kingdom
524,79,524,62,598,62,598,79	Eswatini
375,81,375,60,412,60,412,81	The
