1,515,66,514,66,534,1,535	terprise
145,532,146,514,202,516,202,534	chal.
72,517,141,515,142,532,72,534	product
8,505,8,488,127,488,127,506	ten-plus-year
207,504,207,486,256,486,256,504	solve
133,504,133,486,180,487,179,504	effort
182,485,203,483,205,503,184,504	to`
73,460,127,458,127,475,74,477	came
1,477,1,457,66,458,65,478	inkstep,
189,473,189,459,280,459,280,473	realization
286,475,287,456,324,457,323,476	that
153,475,153,456,184,456,184,475	the
131,457,150,456,151,473,132,474	to
30,427,101,426,101,447,30,447	fproduct
105,428,221,427,221,445,106,446	development
227,445,227,426,248,427,247,446	at
7,446,7,426,28,426,28,446	of
179,416,179,398,272,399,272,418	previously
140,417,140,397,176,398,176,418	and
89,415,89,398,135,398,135,415	trade
0,399,56,397,57,416,0,419	gineer
277,417,277,397,309,397,309,417	the
58,419,58,396,84,396,84,419	rby
202,386,203,370,280,370,280,387	software
97,386,97,370,177,372,177,388	D'Souza
0,388,0,366,52,368,51,390	2018,1
54,387,54,368,92,368,92,387	Neil
312,194,312,188,322,188,322,194	the
98,183,197,182,198,199,99,200	e-currency
71,180,96,180,97,198,71,198	fan
246,195,246,180,308,181,308,196	centra
0,199,0,178,44,179,43,200	bility
204,177,242,176,243,198,204,199	The
47,197,47,178,69,178,69,197	of
186,169,186,152,269,152,269,169	exploring
97,150,180,149,180,168,98,168	countries
29,150,91,149,91,167,29,168	African
274,150,304,150,305,168,275,169	the
5,150,26,149,27,167,6,168	of
0,123,55,122,56,142,0,143	rency
242,140,242,121,313,122,313,142	growing
59,144,59,119,135,121,135,145	(CBDC),
140,142,140,119,202,119,202,142	joining
206,120,238,119,238,140,207,141	the
162,94,222,93,222,109,162,109	central
11,95,114,93,114,107,11,109	introduction
228,92,273,91,273,109,229,110	bank
278,92,332,91,333,110,279,111	digital
120,111,121,91,142,91,141,112	of
224,80,225,62,329,65,329,83	considering
16,81,16,62,93,62,93,81	kingdom
123,64,197,63,197,78,123,79	Eswatini
207,74,207,64,217,64,217,74	is
98,78,100,61,119,63,117,80	of
