183,227,183,211,223,212,222,228	new
101,228,102,209,160,210,160,229	create
20,228,21,208,70,211,69,230	Corp.
510,229,510,209,562,209,562,229	Trust
344,210,431,209,431,226,344,226	hardware
566,209,598,208,599,226,566,227	call
436,210,481,209,482,226,436,227	Root
227,226,227,210,308,210,308,226	standard
0,209,19,208,20,228,0,229	ia
312,228,312,208,340,208,340,228	for
77,209,99,208,100,228,78,228	.to
485,228,485,207,507,207,507,228	of
6,195,6,176,105,179,104,198	computing
286,199,286,178,354,178,354,199	partner
109,180,208,179,208,195,109,195	meanwhile
358,194,358,178,396,179,396,195	with
399,178,493,177,493,195,399,195	Advanced
554,196,554,177,598,178,598,196	Devi
213,197,213,178,243,178,243,197	led
498,196,498,176,550,177,550,197	Micro
262,199,262,177,284,177,284,199	top
0,141,1,122,34,122,33,142	aid.
545,109,545,92,599,93,598,110	NVMe
491,111,491,92,539,92,539,111	ICXL,
403,110,403,92,487,95,486,112	including
143,92,180,91,180,109,144,111	and
25,109,26,92,64,93,63,110	root
183,110,183,93,303,93,303,110	standardized
91,112,91,92,137,93,136,113	trust,
0,109,0,91,23,92,23,110	ed
308,109,308,89,399,91,398,110	interfaces
65,91,87,90,88,110,66,111	loft
446,65,567,63,568,79,446,81	management
183,78,183,62,221,62,221,78	with
91,79,91,61,178,62,178,79	hardware
10,76,11,58,85,61,85,79	modular
572,61,599,61,600,78,572,78	wit
320,62,441,62,441,79,320,79	standardized
225,81,225,60,313,61,313,81	DC-MHS,
9,48,9,33,37,33,37,48	we
370,49,370,32,397,32,397,49	on
202,47,203,32,235,32,235,48	our
41,32,73,32,74,48,42,49	are
498,48,498,30,600,31,599,49	innovations
133,31,172,31,172,48,134,48	with
401,48,401,30,432,30,431,48	the
289,31,366,29,367,49,290,51	partners
239,30,286,29,287,49,239,50	OCP
77,48,78,29,130,32,129,51	doing
435,48,435,29,493,30,493,49	varied
177,48,177,29,200,29,200,48	all
