315,210,358,209,358,225,315,226	pinch
195,223,195,209,251,210,250,224	sectors
7,223,7,209,31,209,31,223	the
288,223,288,209,312,209,312,223	the
104,224,104,208,167,208,167,224	recedes
34,224,34,208,69,208,69,224	tech
71,208,101,208,101,223,72,224	tide
255,224,255,208,285,208,285,224	feel
173,208,192,208,193,223,173,224	all
2,184,3,171,53,172,52,186	ending
65,160,66,144,116,145,116,160	survey
1,145,31,144,31,158,1,159	test
343,145,377,144,377,158,343,159	tech
329,157,330,145,340,146,339,157	in
228,145,321,144,321,158,228,158	deceleration
172,159,173,143,224,144,224,160	steady
32,143,63,142,64,159,32,160	CIO
121,144,168,143,168,157,121,158	shows
8,106,46,105,46,119,8,120	ware
49,104,95,104,96,119,49,120	future
356,90,356,89,357,89,357,90	the
320,80,362,80,362,98,321,98	post-
254,94,254,81,276,81,276,94	on
1,94,1,79,50,80,50,95	eaking
217,79,251,78,251,93,218,94	take
54,79,122,78,122,95,54,96	analysis:
277,93,278,78,319,79,318,94	Dell's
150,79,214,78,214,94,150,94	analysts
123,94,124,78,147,78,146,94	An
2,53,2,41,57,41,57,54	llection
0,29,0,15,21,15,21,29	ve
172,28,172,13,240,15,239,30	Analysis:
100,28,100,14,167,15,167,29	Breaking
24,28,24,14,95,14,95,28	Vellante's
275,13,348,11,349,29,276,31	complete
242,29,242,13,273,13,273,29	:The
