73,411,117,410,117,426,73,426	most
4,412,67,410,67,424,5,426	island's
209,428,209,411,276,411,276,428	Nuragic
123,411,203,410,203,426,123,426	elaborate
21,338,62,337,63,354,21,355	gave
170,350,170,336,295,338,295,351	manifestations
93,336,163,335,163,351,93,352	external
0,336,18,336,18,352,0,352	at
63,333,90,332,91,353,64,354	eits
298,308,340,307,340,324,299,325	activ
64,323,64,306,157,309,157,326	flourishing
201,325,201,308,293,309,293,326	historically
161,308,195,307,196,324,162,326	and
0,308,23,305,25,328,0,330	nly
27,324,27,308,46,308,46,324	of
314,296,315,282,341,283,341,297	an
2,295,3,282,31,282,30,296	are
257,279,310,278,311,299,257,300	Egypt
145,282,223,278,224,294,146,298	pyramids
109,296,110,278,142,279,141,297	the
76,297,76,278,108,278,108,297	like
226,297,226,278,255,278,255,297	for
48,296,48,277,74,277,74,296	bit
160,252,210,252,210,268,160,268	wrote
109,269,109,252,156,252,156,269	Lilliu
316,268,316,252,340,252,340,268	vie
235,271,235,250,287,251,287,271	Italy's
27,251,105,251,105,267,28,267	Giovanni
287,253,312,250,313,266,289,269	Levi
0,250,25,249,26,271,0,272	ist,
213,251,233,250,233,268,214,269	in
115,224,115,203,184,203,184,224	Nuragic
29,220,29,205,88,206,88,220	central
249,204,329,202,330,219,250,221	centuries.
1,221,1,203,26,203,26,221	led
218,222,218,203,246,203,246,222	for
91,221,91,203,114,203,114,221	[to
187,202,217,201,217,221,187,222	life
181,179,261,179,261,193,181,194	purposes
41,178,102,176,102,191,41,192	several
265,193,266,175,322,177,321,196	during
0,192,0,175,39,176,38,192	rved
128,193,129,176,179,177,178,195	these
107,193,107,175,127,175,127,193	lof
171,164,171,152,212,152,212,164	even
147,165,147,151,167,152,167,165	or
2,165,2,149,48,149,48,165	laces
218,149,326,149,327,163,218,164	astronomical
74,166,75,146,143,148,142,168	fworship
50,165,51,146,74,147,73,166	of
212,137,212,123,243,123,243,137	use
0,123,27,122,27,138,0,138	ers.
245,120,297,120,298,141,245,141	erange
113,136,113,121,163,121,163,136	about
33,121,106,121,106,135,33,136	Theories
300,137,300,120,341,120,341,137	from
166,136,166,120,209,122,208,138	their
0,109,0,94,20,94,20,109	ze
215,92,285,91,285,111,215,112	Nuragic
62,93,152,92,152,107,62,109	Sardinians
22,112,22,92,60,92,59,113	Age
180,92,212,92,212,109,180,109	this
155,108,156,90,178,92,177,110	soft
60,19,131,18,131,34,60,34	:Gabriele
1,19,57,18,57,35,1,35	Credit:
136,35,136,16,268,19,268,38	Maltinti/Alamy)
