582,113,582,110,584,110,584,113	-
579,118,579,104,599,104,599,118	sa
0,102,36,102,36,120,0,120	can
413,98,499,97,499,125,413,125	deeperi
39,98,220,97,220,125,39,126	archaeologists
317,124,317,96,409,97,409,124	digging
223,99,311,98,312,120,223,121	started
532,120,532,98,573,98,573,120	the
503,120,503,98,527,98,527,120	in
0,86,0,58,69,59,69,88	argely
269,61,343,60,344,82,269,82	world
345,84,345,57,439,59,439,86	lbeyonds
225,81,225,59,266,60,265,81	the
192,60,219,60,219,81,192,82	to
490,82,491,53,578,58,577,87	Miguel
441,81,441,58,487,58,487,81	San
76,59,186,56,187,78,76,80	unknown
61,46,62,22,107,23,106,47	ANY
0,21,60,20,60,42,0,43	ound
246,41,246,21,289,21,289,41	not
219,21,242,20,243,43,220,44	is
113,20,216,19,216,41,113,42	fortunes
575,43,575,19,600,19,600,43	Ifo
85,1,85,0,89,0,89,1	-
