73,279,119,279,120,299,73,299	was
394,298,394,275,492,275,492,298	hamlets
264,277,356,275,356,297,265,298	handful
2,276,68,275,68,299,2,299	dow")
497,277,597,275,597,297,497,298	scattere
126,298,126,276,237,278,237,300	originally
361,273,391,272,392,298,362,299	lofh
0,263,0,238,54,239,53,264	opes
277,237,389,236,390,258,277,259	meadows
138,258,139,238,269,240,268,261	undulating
394,236,471,236,472,257,395,258	below
91,258,91,236,132,236,132,258	the
479,256,479,235,578,237,577,258	Zermatt
56,259,56,234,88,234,88,259	stop
468,218,468,198,556,200,556,220	stadels,
1,200,101,198,101,217,2,219	acement
562,198,598,197,599,219,563,220	,wh
346,198,410,197,411,223,347,224	gadis
416,219,416,197,462,197,462,219	and
213,198,339,197,339,219,213,220	traditional
141,197,206,197,206,219,141,220	these
108,196,137,195,137,219,109,220	oft
169,161,221,160,222,186,170,187	way
377,163,452,161,453,178,378,179	means
18,159,95,157,95,182,18,184	wasn't
492,160,590,159,591,178,492,179	survival.
98,184,98,157,148,157,148,184	just
306,179,307,157,348,158,348,179	but
458,180,459,156,488,157,488,181	soft
257,181,257,155,300,155,300,181	life,
224,157,254,155,255,181,225,183	yofl
22,99,86,96,87,114,23,117	warm
437,95,506,94,506,113,438,115	cattle
268,94,321,93,322,115,269,116	heat
131,115,131,96,259,97,259,116	harnessing
514,94,588,93,589,113,514,114	below.
390,115,390,93,433,93,432,116	the
326,114,326,92,385,93,385,115	from
91,120,92,91,128,93,127,122	by
322,58,348,57,349,77,322,77	as
236,55,315,53,315,75,236,77	known
149,76,149,53,227,54,227,77	stable,
494,81,494,53,573,53,573,81	simple
374,80,374,53,431,53,431,80	gadi
11,76,12,52,143,56,142,79	two-storey
437,75,437,53,488,53,488,75	This
0,38,0,20,27,20,27,38	on
278,18,307,17,307,39,279,39	las
566,38,566,17,598,17,598,38	ani
136,17,199,16,200,36,136,36	straw
310,36,310,15,385,15,385,36	winter
520,36,520,16,560,16,560,36	the
206,40,207,13,274,15,273,42	(used
477,37,477,14,515,14,515,37	for
392,36,392,13,472,13,472,36	fodder
50,37,50,14,98,14,98,37	bed
101,38,103,12,132,14,130,40	dofs
