277,475,277,464,291,464,291,475	to
296,474,296,462,362,462,362,474	continue
104,474,104,462,215,463,215,474	Advertisement
228,474,228,461,271,461,271,474	Scroll
534,397,534,378,595,380,595,398	years.
192,378,218,377,219,395,192,396	as
307,395,307,377,366,377,366,395	share
109,396,109,376,134,376,134,396	as
439,395,439,376,487,376,487,395	next
222,375,283,375,283,395,222,396	$500
397,395,397,375,435,375,435,395	the
136,397,136,374,187,374,187,397	high
17,394,17,375,75,375,75,394	climb
491,395,491,374,531,374,531,395	five
368,375,393,372,395,394,370,396	in
78,396,78,373,105,373,105,396	oto
478,354,479,334,595,336,595,355	company's
311,353,312,334,379,335,378,353	officer,
1,336,73,334,73,351,2,353	ecutive
186,337,301,336,301,350,186,350	investment
78,352,79,332,122,333,121,353	and
438,353,438,333,477,333,477,353	the
126,352,126,333,178,333,178,352	chief
387,353,387,331,433,331,433,353	said
386,251,485,249,485,268,386,270	executive
33,251,149,250,149,267,33,268	investment
490,269,490,249,543,250,543,270	said
326,249,380,249,380,270,326,270	chief
209,268,209,250,319,251,319,269	ValueAct's
157,269,157,249,203,250,202,270	firm
0,272,0,248,25,248,25,272	le,
469,210,524,209,525,231,469,232	price
308,211,401,210,401,226,308,226	dramatic
2,226,2,211,139,212,139,227	ansformation,
408,229,408,208,467,208,467,229	stock
175,210,244,208,245,228,176,231	poised
525,231,525,206,586,207,586,232	jump
250,229,250,206,283,206,283,229	for
466,168,536,167,536,186,467,187	clients
400,189,401,166,460,167,460,190	helps
330,167,394,166,394,187,330,187	which
61,168,181,168,181,185,61,185	Enterprises
541,186,541,167,588,167,588,186	with
185,188,187,164,223,167,222,190	Inc.
1,167,55,166,55,189,1,190	sight
227,167,323,165,323,188,228,190	(NSIT.O)
