134,398,134,378,194,379,194,398	years.
38,375,87,375,87,395,38,396	next
0,395,0,375,34,376,34,395	the
92,394,92,374,130,374,130,394	five
201,352,201,334,258,336,258,354	stock
261,334,320,332,320,357,261,359	price,
79,355,79,333,195,334,195,357	company's
38,334,76,334,76,353,39,354	the
1,353,1,332,35,332,35,353	aid
0,252,84,250,84,269,1,271	xecutive
90,270,90,250,140,250,140,270	said
254,227,254,212,338,214,338,228	revenue
192,211,216,211,217,229,192,229	as
9,227,9,210,66,210,66,228	stock
127,230,128,207,187,208,187,232	jump
70,211,123,209,124,230,71,233	price
219,228,219,207,250,207,250,229	its
66,186,66,168,136,169,136,187	clients
1,189,2,166,60,168,59,190	helps
236,186,236,167,308,167,308,186	critical
142,185,142,169,188,169,188,185	with
193,187,193,167,232,167,231,187	the
314,187,314,167,352,167,352,187	but
