250,565,250,544,312,545,312,566	clans
45,546,131,544,131,565,45,566	various
317,546,391,544,392,564,318,566	would
140,564,141,544,240,546,240,565	different
546,544,599,542,600,566,546,566	tagai
457,543,540,542,541,565,458,566	fought
397,543,455,542,455,566,397,566	Thave
304,509,368,509,368,528,305,529	scare
438,506,567,505,568,530,438,531	opponents.
49,525,49,510,133,510,133,525	armour
192,506,265,505,265,527,193,528	masks
373,528,373,503,432,504,432,529	their
272,506,298,505,299,526,272,526	to
141,528,141,502,187,502,187,528	and
395,468,460,467,460,494,395,495	carry
231,467,314,466,315,487,231,489	collars.
464,466,535,463,536,487,465,490	round
156,489,156,465,226,465,226,489	metal
322,493,322,465,392,465,392,493	.Many
46,466,92,465,92,488,46,489	and
542,466,598,465,598,488,542,488	shiel
96,493,96,462,151,462,151,493	high
373,448,373,429,458,429,458,448	archers
510,451,510,427,597,427,597,451	depicte
465,449,465,428,504,428,504,449	are
219,429,312,427,312,448,219,450	soldiers
46,449,47,427,212,428,212,451	stick-wielding
318,449,318,426,365,426,365,449	and
234,391,293,389,294,409,235,412	were
513,390,599,388,599,413,513,415	organis
420,412,421,386,508,389,507,415	society
144,390,228,387,229,413,145,416	cpeople
46,412,47,387,139,388,139,413	Nuragic
321,391,414,385,416,410,322,415	war-like
570,371,570,353,600,353,600,371	.wa
527,353,566,352,566,371,527,372	are
294,369,295,348,405,350,404,371	bronzetti,
153,374,154,347,254,348,254,375	majority
414,351,517,348,518,371,415,374	however,
97,369,97,348,149,349,148,370	vast
259,373,259,348,288,348,288,373	of
43,347,93,345,94,371,44,372	The
370,309,370,284,468,284,467,310	Cagliari
46,287,222,285,222,302,46,304	Archaeological
232,284,331,283,331,304,233,306	Museum
337,304,339,281,366,284,364,307	in
157,248,246,247,246,270,158,271	aspects
402,269,402,244,490,245,490,269	Isociety,'
287,269,287,244,396,244,396,269	[Nuragic]
47,245,148,244,148,265,48,266	different
251,245,279,243,280,267,252,268	of
506,268,507,241,558,242,557,270	said
560,268,561,241,600,242,600,269	Nic
146,229,146,209,222,209,222,229	seems
48,225,48,208,139,210,139,227	another
446,228,446,206,527,207,527,228	Bronze
344,208,406,204,407,229,346,233	plate
261,229,261,205,318,205,318,229	offer
532,230,533,204,583,207,582,233	Age
412,206,439,205,440,228,413,229	of
225,227,226,204,256,206,255,229	stop
577,188,578,170,600,171,600,189	lock
226,196,227,166,292,167,292,196	scarry
118,166,222,166,222,191,118,192	figurines
45,191,46,165,112,167,111,193	Many
387,166,447,165,447,187,388,189	food
294,167,351,163,353,193,296,197	gifts
509,165,555,164,555,189,510,190	has
452,189,453,164,506,165,506,190	One
355,187,358,164,384,167,381,190	soff
533,149,533,133,596,133,596,149	seem
117,149,117,128,192,128,192,150	others
299,128,391,128,391,150,299,150	soldiers
45,130,108,128,108,148,45,149	while
449,150,449,128,525,128,525,150	babies
198,150,199,127,291,129,291,152	holding
397,151,397,126,444,126,444,151	and
175,115,175,89,245,89,245,115	capes
362,89,532,88,532,109,362,111	wide-brimmed
306,113,307,87,355,88,355,114	tall,
250,112,250,87,303,87,303,112	with
124,111,124,88,171,88,171,111	and
46,110,47,88,118,89,118,111	tunics
543,89,595,87,595,110,543,112	hats
258,75,259,49,344,52,343,78	dagger
533,74,533,50,600,50,600,74	chest
119,53,249,51,249,68,119,71	ceremonial
348,52,454,50,454,73,349,75	strapped
46,49,92,48,92,71,46,72	and
491,48,529,47,529,73,492,74	his
460,72,460,48,489,48,489,72	to
175,37,175,16,223,16,223,37	can
123,40,123,13,176,14,176,41	you
502,33,503,15,532,16,531,33	an
225,13,292,10,293,33,226,36	come
538,34,538,12,599,12,599,34	ancie
442,33,442,11,495,12,495,34	with
45,34,45,10,120,12,119,35	There
385,11,438,10,438,33,385,33	face
354,33,354,11,380,11,380,33	to
296,10,349,9,349,33,296,34	face
