45,564,45,545,118,545,118,564	Pinna.
1,544,40,543,40,565,1,566	aid
223,527,224,505,266,506,266,527	the
0,505,112,505,112,526,0,526	ivilisation.
145,505,217,505,217,527,145,527	where
4,467,124,465,124,489,5,490	protected
166,489,166,467,276,467,275,489	elaborate
127,492,129,465,159,467,157,494	by
145,448,145,428,241,430,241,450	helmets
52,426,138,426,138,448,52,449	horned
19,427,48,427,48,450,19,450	lor
0,409,1,386,102,388,102,411	divisions.
107,389,194,387,195,408,107,410	Sword-
199,410,199,386,246,387,245,411	and
183,371,184,348,225,349,225,371	the
115,371,115,347,178,348,178,371	think
82,349,111,348,112,371,83,372	stop
1,350,78,348,79,371,2,373	holars
0,246,31,245,32,268,1,268	he
37,267,37,243,142,243,141,267	National
7,229,7,206,123,207,123,229	represent
164,227,164,206,205,206,205,227	the
129,229,129,205,161,205,161,229	all
0,189,0,166,39,168,38,191	ver
44,167,80,167,81,189,44,189	his
85,167,202,167,202,188,85,188	shoulders
208,166,255,165,255,189,209,190	and
18,149,18,128,66,129,65,150	role
101,152,101,127,229,128,229,153	caretakers.
70,151,70,126,99,126,99,151	of
0,110,0,91,38,92,38,111	ave
111,90,244,90,244,113,111,113	priestesses,
43,90,102,87,103,112,45,116	been
2,53,88,51,89,71,2,74	dressed
122,51,220,49,220,75,123,77	straight
94,72,94,49,120,49,120,72	in
129,25,129,24,130,24,130,25	Salem
133,25,133,24,135,24,135,25	the
132,25,132,24,133,24,133,25	the
130,24,130,23,132,23,132,24	-
133,24,133,23,135,23,135,24	the
125,29,125,20,137,20,137,29	a
132,39,133,10,195,12,194,41	along
200,36,200,11,264,12,264,36	cloak
16,33,16,9,113,13,112,37	wearing
