0,597,0,581,37,581,37,597	zen
477,597,477,578,534,578,534,597	other
42,595,42,579,156,579,156,595	companies
214,580,352,579,352,594,214,595	distinguishes
540,596,540,577,597,577,597,596	activis
164,578,207,577,207,597,164,597	and
419,596,420,575,471,576,471,597	from
359,575,414,574,414,596,359,597	itself
130,484,130,469,233,471,233,486	metaverse
11,470,90,469,90,486,11,487	creation
95,468,125,468,126,486,95,487	for
0,448,0,425,44,426,43,448	14%
134,405,134,390,202,390,202,406	outage
87,408,88,388,130,389,129,409	tapp
0,406,0,390,36,390,36,406	over
40,404,40,388,85,388,85,404	chat
0,348,25,348,25,365,0,365	om
182,364,182,346,259,347,259,366	Morgan
263,364,264,345,340,348,339,368	Stanley
33,348,132,347,133,362,33,363	Mitsubishi
346,346,442,345,443,362,346,363	Securities
139,362,140,344,178,345,177,363	UFJ
177,309,194,308,195,318,177,320	Q3
23,323,23,304,97,305,97,324	reports
98,325,98,304,164,306,164,326	strong
338,143,338,121,462,121,462,144	opportunity
264,140,265,120,332,123,331,143	return
200,122,261,119,262,142,201,145	great
71,144,72,119,177,120,177,144	""presents
555,145,557,119,599,121,598,147	tany
469,141,469,120,553,120,553,141	without
20,117,69,116,69,141,20,141	This
473,82,578,80,578,97,474,98	generates
325,99,325,78,419,79,419,100	earnings
148,81,220,80,220,95,148,96	around
72,98,72,79,140,79,140,98	trades
1,80,65,78,65,99,2,101	nsight
260,97,260,78,318,78,318,97	times
424,99,425,76,469,78,468,100	and
230,96,230,79,253,79,253,96	10
384,18,506,17,506,29,385,30	Investigations
84,17,210,16,210,32,84,32	Breakingviews
0,32,0,15,38,15,38,32	kets
533,31,533,14,580,15,580,32	More
237,30,238,14,337,16,336,33	Technology
