423,384,423,368,474,369,474,384	case
478,385,479,367,504,368,504,385	as
509,383,510,367,560,368,560,384	even
235,365,277,364,277,385,236,385	has
0,386,0,364,32,364,32,386	nts
564,384,564,363,600,364,600,384	Mic
382,364,420,363,420,384,383,385	the
322,384,322,364,377,364,377,384	been
280,364,320,363,320,384,280,384	not
191,385,191,363,233,363,233,385	this
80,381,80,363,183,366,182,384	Microsoft,
35,363,75,363,75,383,35,384	like
560,341,561,325,600,327,599,343	to:
394,343,394,323,504,324,504,344	suggested
511,341,511,323,556,323,556,341	that
335,323,388,322,388,342,336,342	have
177,340,177,324,257,324,257,340	wisdom
31,340,31,323,169,323,169,340	conventional
265,322,329,320,330,342,266,344	might
0,342,0,321,26,322,26,343	ile
239,263,240,241,284,243,283,265	ago.
177,263,177,241,236,241,236,263	years
2,240,63,239,63,258,2,259	rosoft
72,258,72,239,171,240,171,259	(MSFT.O)
195,218,196,198,227,199,226,219	JON
501,215,501,198,597,198,597,215	transform
272,198,390,198,391,219,272,220	megatrend
112,216,113,197,190,198,190,217	betting
4,216,5,197,102,197,102,217	ValueAct,
229,217,230,196,266,197,266,217	the
425,219,425,195,493,196,493,220	digital
395,217,396,194,422,195,421,218	Yofo
189,138,189,117,238,117,238,139	year
290,135,290,113,362,115,362,137	having
70,115,138,115,138,133,70,134	earlier
2,117,63,116,63,133,3,133	cutive
367,115,458,113,459,135,368,137	changed
242,115,284,115,284,133,243,134	and
466,135,466,113,504,113,504,135	the
144,134,144,114,185,114,185,134	this
507,114,556,113,556,133,507,133	bulk
560,133,561,112,585,114,584,135	of
283,76,366,75,366,95,284,96	partner
370,75,490,73,490,95,371,97	companies,
546,74,590,73,590,92,546,92	also
141,73,246,73,246,91,142,92	transform
75,94,76,73,135,74,134,95	helps
3,72,71,71,71,95,4,96	Insight
521,91,521,74,539,74,539,91	is
251,94,252,71,280,72,280,95	its
