170,263,171,242,273,243,273,264	Reuters
100,241,163,240,163,264,100,265	from
24,240,94,239,94,265,24,266	More
434,96,435,81,457,83,456,97	Q3
527,54,592,54,592,71,527,71	reports
171,54,262,54,262,68,171,68	metaverse
430,54,521,52,521,70,430,73	sanctions,
266,55,344,52,345,68,267,71	platform
168,44,168,26,251,26,251,44	company
433,41,433,27,526,28,526,42	slowdown,
312,41,312,25,391,25,391,41	launches
256,26,306,25,306,39,256,39	Triller
571,41,571,23,599,24,598,42	.Ch
532,40,533,23,571,24,571,40	U.S.
489,15,490,0,550,1,550,15	shrugs
430,13,430,0,487,1,487,14	ASML
263,11,263,1,367,3,366,13	Short-video
172,12,172,1,257,1,257,13	Exclusive:
552,1,580,0,581,14,554,17	off
