198,280,279,279,280,301,199,302	penalty
143,298,143,279,193,279,193,298	such
568,303,568,278,600,278,600,303	gia
515,298,516,278,564,279,563,299	tech
312,298,312,278,383,278,383,298	Russia
96,297,96,278,138,278,138,297	first
53,298,54,277,91,278,91,298	the
464,296,465,277,511,278,510,298	U.S.
424,298,424,277,462,277,461,298	the
388,277,420,277,421,298,388,299	for
284,277,307,277,308,299,285,300	/in
482,255,482,237,563,239,563,257	content
308,240,386,239,386,254,308,254	remove
205,256,205,236,274,238,273,259	failing
393,239,473,238,473,254,393,255	banned
53,234,108,233,108,261,53,261	($65,
568,255,568,235,599,236,599,256	trel
110,259,110,235,166,235,166,259	0000)
278,236,303,234,305,256,280,258	tor
169,257,169,234,202,234,202,257	for
230,215,231,195,262,197,261,216	on
170,196,227,195,227,214,170,215	court
537,213,537,194,600,196,600,214	Amaz
55,213,55,195,166,196,166,214	AMoscow
478,214,478,195,532,195,532,214	fined
429,196,470,195,471,215,429,215	had
265,215,266,196,353,198,352,217	Tuesday
358,196,403,195,404,214,359,215	said
167,146,236,145,236,160,167,161	October
53,161,54,141,153,145,153,164	Technology
329,160,329,143,377,144,377,161	12:43
270,161,270,143,317,144,317,162	2022
415,145,478,144,478,159,415,160	GMT+8
378,160,378,143,413,144,412,162	BAM
239,163,241,141,267,144,265,166	19,
52,79,223,76,224,110,53,113	content
408,111,408,72,509,73,508,112	time
311,110,311,70,396,72,395,112	first
232,71,299,70,299,112,233,113	tori
307,41,308,40,310,41,308,43	I
527,52,527,25,598,25,598,52	ove
324,50,324,16,516,17,516,51	Amazon
54,51,54,11,202,15,201,54	Russia
218,52,218,12,321,12,321,52	fines
