0,298,0,282,21,282,20,299	or
169,279,232,278,232,301,169,302	giant.
116,298,116,278,164,278,164,298	tech
65,297,65,278,110,278,110,297	U.S.
24,298,25,277,61,278,61,298	the
342,239,384,239,384,257,342,258	guse
170,255,170,239,252,240,252,256	relating
81,238,163,237,163,255,81,256	content
435,255,436,235,512,236,512,256	suicide,
0,237,74,237,74,255,0,255	oanned
388,237,431,237,432,255,389,256	and
287,257,288,235,340,238,339,259	drug
257,237,282,231,287,254,263,260	good
345,197,416,197,416,213,346,213	million
138,196,278,196,278,213,138,213	Amazon.com
424,196,503,195,504,214,425,215	roubles
284,216,284,195,319,195,319,216	Inc
78,214,78,195,131,196,131,214	fined
29,196,71,195,72,215,30,217	had
15,143,79,142,79,160,15,161	GMT+8
10,111,10,73,109,74,108,112	time
1,24,116,23,116,52,1,53	azon
128,23,221,21,222,49,128,51	over
233,17,404,15,404,51,233,53	banned
