431,449,431,434,493,435,493,450	news
525,451,525,431,599,433,598,453	scoop
369,450,370,429,425,429,425,451	tech
293,430,365,428,365,450,294,452	latest
195,429,244,428,245,450,196,451	Get
247,450,248,427,290,428,290,451	the
246,334,295,334,295,354,247,355	can
337,337,490,336,490,354,337,354	copyrighted
199,333,246,332,247,353,199,354	and
296,331,332,330,333,354,297,355	be
491,321,491,298,561,298,561,321	argue
352,299,483,297,484,321,352,322	companies
247,318,247,298,314,300,314,319	some
318,319,318,297,349,297,349,319	All
198,297,242,297,242,317,198,318	But
564,319,564,296,600,296,600,319	that
197,254,197,236,251,236,251,254	now
552,254,552,235,600,237,600,255	sec
325,256,325,233,425,233,425,256	copycat
257,252,257,232,322,233,321,254	make
430,254,431,231,517,234,516,257	images
523,253,524,232,548,234,547,255	in
579,204,599,203,599,218,580,219	OI
503,222,504,200,572,202,572,224	years
396,220,396,198,459,199,459,220	work
286,197,332,196,333,223,287,225	say
200,216,200,199,281,200,281,217	Artists
460,221,461,196,501,197,500,222	Korn
335,223,336,195,392,197,392,225	they
405,158,405,132,469,134,469,159	open
278,137,398,135,399,156,279,157	generator
547,133,598,132,598,158,547,159	epub
198,152,200,131,272,136,270,158	image
503,131,545,129,546,153,504,155	the
470,131,501,129,503,154,472,157	nto
324,122,324,97,435,99,434,124	company
196,121,196,96,300,97,299,123	OpenAl
441,98,540,97,541,118,441,119	founded
547,122,548,95,579,96,578,123	by
108,1,161,0,161,13,108,14	Insider
16,15,17,0,60,0,60,16	Vicky
62,14,62,0,106,1,106,14	Leta/\
