245,422,246,404,291,406,290,423	2022,
222,421,222,406,245,406,245,421	17,
132,421,132,406,182,406,182,421	Nolan
60,420,60,406,129,407,129,421	Beatrice
330,422,330,406,360,406,360,422	PPM
292,406,330,405,330,423,293,424	9:22
188,421,189,404,222,405,221,422	Oct
60,316,182,314,183,357,61,359	their
195,319,386,313,388,355,196,361	control
186,281,186,279,189,279,189,281	Electric)
187,273,187,267,189,267,189,273	CONTERREATING
218,256,490,255,491,291,218,291	thousands
57,251,200,249,200,292,58,294	make
499,293,499,248,561,248,561,293	soft
252,197,343,197,343,235,253,235	say
336,191,416,187,419,227,338,232	YAIL
423,230,425,187,589,196,587,239	image
59,224,60,186,242,191,241,228	Artists
58,156,58,140,108,141,107,158	HOME
138,157,138,140,183,140,183,157	TECH
122,56,122,46,160,47,159,57	news
72,57,72,43,87,43,87,57	In
89,41,117,39,118,56,90,58	the
140,38,140,24,173,24,173,38	101S
100,38,100,24,137,24,137,38	48M
397,39,397,22,456,22,455,39	+1.12
294,37,294,22,336,23,336,38	Dow
71,39,71,22,97,22,97,39	OH
519,39,519,22,586,23,586,40	Nasdaq
339,37,339,22,390,22,390,37	Jones
186,22,186,8,233,9,233,23	OPEN
236,23,237,6,264,8,262,25	NIN:
100,20,100,8,181,10,180,22	MARKETS
71,22,71,7,96,7,96,22	US
